ds,yhat,yhat_lower,yhat_upper
2022-01-01,0.0,-1.2394508599284979e-09,1.2069296612032089e-09
2022-02-01,0.0,-1.332584406920985e-09,1.3732686171529115e-09
2022-03-01,0.0,-1.2894506981253686e-09,1.3572351764934943e-09
2022-04-01,0.0,-1.4007712107824716e-09,1.4319587105962307e-09
2022-05-01,0.0,-1.4540481610804325e-09,1.4073735956361648e-09
2022-06-01,0.0,-1.5927457911206202e-09,1.5529661129599292e-09
2022-07-01,0.0,-1.7054545721951606e-09,1.6907544702091469e-09
2022-08-01,0.0,-1.8988444134498746e-09,1.933735252310089e-09
2022-09-01,0.0,-2.07877976973887e-09,2.1029178937203713e-09
2022-10-01,0.0,-2.3605690398648032e-09,2.286348691794364e-09
2022-11-01,0.0,-2.4690790817734264e-09,2.826185260405708e-09
2022-12-01,0.0,-2.6650166607408295e-09,2.820231729605516e-09
2023-01-01,0.0,-3.061707351594026e-09,3.2492666021704376e-09
2023-02-01,0.0,-3.315376801031363e-09,3.4214000195279837e-09
2023-03-01,0.0,-3.6685387048762957e-09,3.6262088911188336e-09
2023-04-01,0.0,-4.2920215762564165e-09,4.259552366230235e-09
2023-05-01,0.0,-4.552363529833121e-09,4.469025356627888e-09
2023-06-01,0.0,-4.910360371943729e-09,4.980406997479907e-09
2023-07-01,0.0,-5.481045528093358e-09,5.2736540247071135e-09
2023-08-01,0.0,-5.8347893321845286e-09,5.630579212269872e-09
2023-09-01,0.0,-5.986092440523012e-09,6.169819161850399e-09
2023-10-01,0.0,-6.526998904381265e-09,6.817997255749665e-09
2023-11-01,0.0,-7.343116606683645e-09,7.3898997093197544e-09
2023-12-01,0.0,-7.8511337587993e-09,7.409170374376671e-09
