ds,yhat,yhat_lower,yhat_upper
2022-01-01,9357.123417664448,-295685.97401031083,315006.7915029268
2022-02-01,5621.759202068897,-308363.34074911533,322862.379794961
2022-03-01,-1054.194821901734,-298750.96983170504,317917.6811670961
2022-04-01,-4003.2457878952264,-305486.7219937284,294241.0851636058
2022-05-01,-6535.605709379834,-311568.6952467585,306647.4847470663
2022-06-01,-4144.743716601951,-320662.55673808086,293668.811478934
2022-07-01,-1331.991796912724,-317108.86978130153,287599.2164702515
2022-08-01,-2163.914754085021,-312507.76632257155,301567.95379831595
2022-09-01,-4787.016700692235,-312869.8153460335,309478.25517992215
2022-10-01,-4474.859405848927,-288394.71220420446,303479.1263849894
2022-11-01,87.36284203069181,-298284.5131742301,313585.6055495266
2022-12-01,4309.481890132169,-288835.3637642586,311000.41821033414
2023-01-01,7337.508636325714,-288785.02131801436,316227.28192645474
2023-02-01,2716.2695461956005,-328854.82623809006,302503.1308992921
2023-03-01,-2013.8105122518923,-336946.92008107045,288444.6567230012
2023-04-01,-5091.6133875054675,-316718.52192517975,291459.49641802436
2023-05-01,-8414.549715279485,-319265.62692946655,286708.52713690756
2023-06-01,-5836.078569086745,-303941.1218647108,293539.9893182882
2023-07-01,-3353.715092494307,-326181.1211439912,295474.0013210483
2023-08-01,-5270.428949728749,-296415.8127475395,311868.8356358267
2023-09-01,-5888.514829284195,-315372.95094352955,274903.07005463657
2023-10-01,-5454.434502312195,-302157.1320619824,289379.1116950442
2023-11-01,-1692.0705268481743,-316137.1800290543,309529.88592585
2023-12-01,2518.3348970086668,-288677.5718544088,314707.74886516435
