ds,yhat,yhat_lower,yhat_upper
2022-01-01,199558.5314509387,-825118.4251652954,1173983.7600271136
2022-02-01,183780.84548906452,-819654.1474532434,1142581.2646190773
2022-03-01,195884.52485060997,-785347.6958489707,1125996.0403690513
2022-04-01,205807.080624154,-743032.1870523217,1161735.236210029
2022-05-01,225650.74836209707,-758912.9429903115,1133761.3279137658
2022-06-01,252437.737428672,-720087.6270138859,1141780.7794944171
2022-07-01,274034.360011691,-674219.6084679749,1219944.4249228719
2022-08-01,267720.15752753697,-743351.9583179408,1158758.6152691792
2022-09-01,252729.00125997709,-694618.8756826412,1168106.1037740519
2022-10-01,238169.06916139487,-704362.5870653384,1235641.827993515
2022-11-01,211046.64299905585,-693552.291645702,1142775.455681509
2022-12-01,208702.6290466169,-720675.1159727154,1197989.3341192452
2023-01-01,202957.09752101733,-748333.477281662,1093499.1508786625
2023-02-01,190192.6245846556,-760816.0079074175,1150621.2575433021
2023-03-01,193118.5932811381,-799142.8443612024,1220379.8356127932
2023-04-01,211216.13707222452,-763714.3160770609,1228368.1643865493
2023-05-01,228722.17718183852,-771870.5812827263,1172619.217079694
2023-06-01,250388.3128578651,-744434.1110618169,1253487.7402581433
2023-07-01,275712.97415033187,-711935.275424377,1314944.9390147768
2023-08-01,272514.221288429,-658813.0808594074,1258202.8499575076
2023-09-01,254598.68079190445,-677249.2058576405,1251523.409536159
2023-10-01,244085.55564467344,-674605.6514896735,1280098.387212358
2023-11-01,210180.55293306528,-745762.3738696519,1160907.9740316365
2023-12-01,208103.4168908135,-828616.244331979,1077928.7457218966
