ds,yhat,yhat_lower,yhat_upper
2022-01-01,6662.477357284029,-3341.2896382913514,16791.394744129957
2022-02-01,6516.855734214472,-3100.205409284062,16208.300527550851
2022-03-01,5702.050954091714,-4738.03987649719,15556.795599301777
2022-04-01,5351.423540539168,-5185.906774122407,15584.0919664962
2022-05-01,5153.879470740157,-4767.8056160188535,15541.293749928478
2022-06-01,5387.735024991705,-4813.788737642486,14709.863404772042
2022-07-01,5680.524521079934,-4185.209960209373,15551.86305327409
2022-08-01,6290.402516633137,-4016.980297186584,15752.888508412974
2022-09-01,5836.843062973212,-4120.689994508548,15636.318320027942
2022-10-01,5311.575708837412,-4415.150355235985,15849.704540020797
2022-11-01,5654.346177052038,-4191.978049077695,16237.924765458481
2022-12-01,6451.271049315913,-3644.678891704901,16478.323155793812
2023-01-01,7026.610377156263,-2801.636403255708,17339.120521005927
2023-02-01,6901.090067780348,-3099.4121354622193,16665.370677948813
2023-03-01,6256.1771402867425,-3817.9739406779304,16461.51407004364
2023-04-01,5912.206317696219,-3709.6165047432414,15884.914736282546
2023-05-01,5745.619199557446,-4845.111308757511,15904.677919349217
2023-06-01,5947.8126393570565,-3968.503453540482,16589.852539569274
2023-07-01,6028.753371083036,-3670.1581112255108,16175.87427715879
2023-08-01,6660.98771296858,-3316.9225000035985,16257.413743350313
2023-09-01,6237.102865310634,-4351.7646181004175,16459.160899524726
2023-10-01,6031.109201526428,-4149.093887542984,16260.433606419509
2023-11-01,6273.255316870126,-3577.876763672742,16321.813861159508
2023-12-01,6911.292437869639,-2381.535857854582,16907.976611796854
