ds,yhat,yhat_lower,yhat_upper
2022-01-01,11004.909617864876,-36066.02946642446,61995.576482071716
2022-02-01,10716.97157794813,-42806.520069558814,56599.84745142901
2022-03-01,9722.07311800729,-38904.17922367774,55143.92535965421
2022-04-01,9647.831153607383,-37050.77639600743,59609.92653782884
2022-05-01,9207.565754648416,-39996.90115359755,56478.196397939006
2022-06-01,9716.79989116224,-37117.32860949214,57472.83164538716
2022-07-01,10327.034130429713,-33396.53502473448,60306.0037868833
2022-08-01,11983.233825439305,-35910.97218426808,60656.0751550835
2022-09-01,9812.03927298571,-37846.5462812562,61085.791329736516
2022-10-01,8920.0096531118,-40253.40422960044,59257.99309794361
2022-11-01,9501.147932485968,-39212.31367264897,59078.614469360706
2022-12-01,10563.358350837289,-37611.17125862372,61077.478563138975
2023-01-01,11579.580876833494,-35506.379592498095,61125.82354024098
2023-02-01,11370.019033874614,-33910.24022246058,59675.88423447043
2023-03-01,10117.205742431315,-39419.9261410289,58031.701849781915
2023-04-01,10271.443936516107,-38020.38649528354,57373.494957993724
2023-05-01,9772.428404135797,-42178.214174577486,55168.67542459028
2023-06-01,10115.754823718135,-41418.231628337104,60366.830232106666
2023-07-01,10710.504172744924,-38604.9749048217,57990.07020241203
2023-08-01,12496.960089167591,-36433.3294539475,61312.46093265722
2023-09-01,10526.281746353268,-33451.096284293424,62206.08405526982
2023-10-01,9618.214661425398,-35203.89571124427,59832.93967334461
2023-11-01,9753.334307608133,-37766.54287579568,54839.43098894097
2023-12-01,10955.578672335489,-39284.523185138336,59874.91017336529
