ds,yhat,yhat_lower,yhat_upper
2022-01-01,293692.17926294723,-932465.7901889343,1669490.256190236
2022-02-01,285298.6819127135,-1008153.4050549719,1500165.0205078463
2022-03-01,334378.51339684275,-944192.9171883392,1656121.013137569
2022-04-01,358935.154052671,-1012176.3024733011,1747679.0190260424
2022-05-01,383870.65000489965,-870389.3567783758,1718404.2637390546
2022-06-01,379522.85334338533,-804648.2105600003,1624514.4458796375
2022-07-01,380638.96799444564,-848080.2215457815,1687550.1217548132
2022-08-01,392671.42208845576,-879498.7959472579,1774882.765309907
2022-09-01,376060.66516371194,-846206.5832914723,1765063.2399279324
2022-10-01,372474.903818197,-901063.1630680811,1650251.1835467971
2022-11-01,365856.47151807375,-947128.0324611993,1723045.7295350428
2022-12-01,371807.02576216636,-961430.5032922619,1635788.6982609956
2023-01-01,326375.03402152326,-988729.4235775078,1625460.2528613477
2023-02-01,316925.04892217857,-993282.006402959,1676017.2855346266
2023-03-01,361548.917216793,-990376.6760984416,1668652.3634026416
2023-04-01,390554.46922024834,-913660.9573524804,1744765.8287463496
2023-05-01,414062.17773907905,-937333.8180845844,1822760.6135165247
2023-06-01,409985.0884513269,-856028.25363128,1757644.4438848214
2023-07-01,412411.3954091014,-1004818.8150117636,1737182.553513946
2023-08-01,422471.6500505403,-880272.0222882353,1741756.342663505
2023-09-01,406202.4780838235,-839236.9870507859,1686466.4449135948
2023-10-01,403534.6366623923,-938241.426577831,1751567.806328322
2023-11-01,395889.9360164232,-916618.0134207068,1719926.135718827
2023-12-01,401485.7385040611,-1072037.035776793,1650760.779260972
