ds,yhat,yhat_lower,yhat_upper
2022-01-01,22205.746692362194,-79395.36016309795,119111.18200899506
2022-02-01,21370.88267279454,-86692.18779417753,119926.21939011042
2022-03-01,20687.63209053999,-81897.7636016603,114248.43639966755
2022-04-01,20272.4602552684,-73511.24683329702,113530.20187258051
2022-05-01,20060.424775733154,-80456.59061386077,124242.63014879327
2022-06-01,22651.16757137072,-81960.04309287008,125657.09287377598
2022-07-01,24072.826867567535,-73376.79119752102,118802.11436449818
2022-08-01,25199.419607366508,-74738.30053757127,116500.14602283
2022-09-01,22066.31645479852,-86820.75676729142,119939.8189911613
2022-10-01,20025.232375075022,-77015.01929880132,126136.75867260015
2022-11-01,19905.324202243282,-80117.99140028238,118067.56513428509
2022-12-01,21333.993229750926,-78726.96070382082,121189.2916941007
2023-01-01,23033.46800728944,-75162.9475310839,124913.65953490949
2023-02-01,22179.97668262889,-83080.5663694196,120401.19665734305
2023-03-01,21363.706918860247,-79652.50390843366,123488.5211510916
2023-04-01,21035.516955066676,-83616.27299662566,120607.37278957147
2023-05-01,20923.284973274043,-82463.80578594249,122699.09396700755
2023-06-01,23415.502014228867,-75368.89966603673,124783.2117773632
2023-07-01,24899.797884099105,-77383.82898004068,125070.87350609545
2023-08-01,26012.385075546244,-77169.83164131826,136489.16083893363
2023-09-01,22784.990452840888,-87579.13931957504,127875.20017931872
2023-10-01,20774.608876414695,-84024.26452736907,126334.60572954922
2023-11-01,20689.720867145617,-79705.46586440012,123200.42132581395
2023-12-01,22193.010902640563,-86570.99842860598,122383.39516337584
