ds,yhat,yhat_lower,yhat_upper
2022-01-01,6916.287292588276,-19349.127119936777,31380.880873750855
2022-02-01,6863.057943175322,-16995.98964411758,32783.63001093828
2022-03-01,5907.122156517825,-21147.866344471742,31086.21756310431
2022-04-01,5773.16766787695,-18813.951957777208,30962.2030168512
2022-05-01,5250.538614036442,-21186.846929779178,30944.74500338202
2022-06-01,5561.312889129921,-18624.619615401374,30681.124888882656
2022-07-01,5842.350059102304,-20537.353973006935,30908.333925485003
2022-08-01,7233.54614056749,-16818.598019203488,33054.354557951374
2022-09-01,5923.156736362773,-18683.214452347336,30001.159313138025
2022-10-01,4854.366459734182,-19178.98930122705,30955.295990006925
2022-11-01,5303.409789206282,-19896.53812367315,30231.993105602975
2022-12-01,6101.518331109713,-19281.321735498186,31550.682538887453
2023-01-01,6922.5756430600995,-18606.057921015115,32111.228855854293
2023-02-01,6967.491127867807,-19415.16255116788,32981.249940784095
2023-03-01,5741.91212126223,-17815.16404844033,30719.969275504965
2023-04-01,5787.307355029377,-17215.750173695586,31540.783589337516
2023-05-01,5259.690534311082,-21862.58793981779,29831.742823883633
2023-06-01,5497.314602765176,-19294.269081859467,31485.756217273793
2023-07-01,5746.55800109779,-20907.98152551694,31274.177498346256
2023-08-01,7269.505303202127,-18116.137935327944,32671.442013239714
2023-09-01,5928.544923592641,-19420.190160497772,29377.800746014364
2023-10-01,4885.4489833762,-21728.970641410935,29609.372636160628
2023-11-01,5152.653048849398,-20630.266098665114,30568.622721666037
2023-12-01,6033.751490632477,-19441.590450762258,30051.90400050798
