ds,yhat,yhat_lower,yhat_upper
2022-01-01,45570.18452130226,-137256.29307378226,233427.7057855993
2022-02-01,42910.201141174824,-145534.29886858453,235070.21307064866
2022-03-01,43933.31536064937,-131660.23145476874,224285.42109610204
2022-04-01,43253.03077861426,-133520.81836520878,234703.14240491073
2022-05-01,39768.57370253451,-153389.57650780558,240160.62625117524
2022-06-01,41605.69111391532,-154380.68337856606,227666.27584381026
2022-07-01,44227.503997640466,-131390.0314310792,226436.46464372656
2022-08-01,45394.1920539754,-147492.9997517547,232690.8605397622
2022-09-01,39149.86549652521,-142231.02177125568,226397.29823516938
2022-10-01,35592.45843298071,-165166.60839057475,223971.01027049372
2022-11-01,37278.83630215239,-146491.70190483786,237041.6824022103
2022-12-01,40562.86796130027,-139224.19860914693,233722.85684819391
2023-01-01,41396.689783953356,-133045.19713749294,223339.9078353201
2023-02-01,39811.596103125994,-157076.28127302436,211425.1461436862
2023-03-01,37425.93525540044,-146201.76162163418,219547.39994984303
2023-04-01,38668.817940205874,-144270.61197475315,228393.767256046
2023-05-01,34374.70488795228,-157688.2003820552,210278.54963782776
2023-06-01,36240.30998246061,-149257.52745023195,221622.97746734464
2023-07-01,40334.231828383265,-143708.45181321603,216418.65972873682
2023-08-01,40722.79370155767,-151068.40669418883,229185.80522915715
2023-09-01,35104.10004407353,-148397.5667840528,217847.31249383136
2023-10-01,30088.250062075902,-150557.9860305538,217046.54728620456
2023-11-01,31051.40589767035,-156528.33938127063,212788.6853081697
2023-12-01,35641.29084351882,-147668.0542878356,241448.365904029
