ds,yhat,yhat_lower,yhat_upper
2022-01-01,42119.6328926887,-41637.26493295817,132540.90492448024
2022-02-01,41072.135021897935,-48326.732396835134,128874.32464374705
2022-03-01,37593.06360727413,-54366.855644731106,123924.81037952808
2022-04-01,37623.35447132465,-55955.204397225505,116104.5718942681
2022-05-01,36187.34008827603,-62433.72470005735,124878.3456171792
2022-06-01,38142.67154559865,-48021.67968511464,130884.58442150865
2022-07-01,40521.6165780787,-48856.30449615375,126855.21455456616
2022-08-01,46809.1604185145,-44351.09350779113,139023.22834116698
2022-09-01,38259.31963207362,-55093.50515145587,121307.20700373336
2022-10-01,34533.016614566186,-53866.511110720276,123174.64796048493
2022-11-01,36803.13802588936,-55959.507814763434,128346.44748099816
2022-12-01,40732.529394542995,-43414.98316843736,127140.06712344199
2023-01-01,45011.26186953148,-43386.637608785095,126615.8660581514
2023-02-01,44820.70882673861,-44303.85742283092,129815.93783303052
2023-03-01,40033.80356421862,-48662.6661057938,134335.43893164778
2023-04-01,40863.41234901501,-46615.2725317937,127651.87747782309
2023-05-01,39188.92343020911,-53795.799553331184,126224.50767614332
2023-06-01,40283.9921887643,-51198.48576818801,127038.74065091016
2023-07-01,42793.01875288198,-44460.957600088885,127801.66935976736
2023-08-01,49634.05476021207,-37803.26242589037,143944.2204997617
2023-09-01,42325.215855693285,-42694.19138294789,129919.92656235701
2023-10-01,38221.5600438401,-50006.012200203266,121273.07113338922
2023-11-01,38319.21594862602,-48431.51855506371,122088.04889671887
2023-12-01,42872.74732786035,-51080.14373264041,132553.9340432994
