ds,yhat,yhat_lower,yhat_upper
2022-01-01,29971.549369066848,-31488.83728266218,89537.14283731364
2022-02-01,29465.321323530912,-35706.86934306803,89698.38401830941
2022-03-01,27495.33713037017,-34142.72667227866,91292.17570321113
2022-04-01,27118.00322140487,-37255.449225673256,86462.44866157685
2022-05-01,24736.10235606862,-40333.416615287606,83304.71620234834
2022-06-01,29782.548012216583,-31662.218862611957,90865.93197583573
2022-07-01,33295.62773510597,-25163.122705660244,95719.63271178606
2022-08-01,38155.2027979067,-27156.26512024769,94946.09783003868
2022-09-01,26274.72595446044,-35703.763968912695,88551.98094579684
2022-10-01,22896.235893463134,-40791.50588744981,87252.39511134115
2022-11-01,26627.099209113323,-34270.18338452738,90769.89319192024
2022-12-01,28159.67022089515,-30535.716689521574,89700.96804544536
2023-01-01,30806.850898872337,-29039.669509257048,91153.01215729522
2023-02-01,30211.756033460235,-32590.167220958727,89342.69675937673
2023-03-01,28300.08472980887,-31979.553343595097,93136.37330138264
2023-04-01,27911.29403076519,-31282.138094365393,90326.77556700792
2023-05-01,25607.074030908923,-33003.519023505985,84714.13352760763
2023-06-01,30645.661944068055,-29793.435790296462,93429.82641305949
2023-07-01,34155.61497420923,-25635.42018449986,93478.56071323251
2023-08-01,38907.710926706226,-23813.305579116608,97237.3572490883
2023-09-01,27012.48932775688,-32755.479798023804,95104.42272932931
2023-10-01,23756.88868468981,-35451.41593066589,88091.56840240696
2023-11-01,27478.841677134555,-27774.118145624197,89641.75752447147
2023-12-01,29061.235205497545,-30328.27835563878,90731.93865242758
