ds,yhat,yhat_lower,yhat_upper
2022-01-01,29323.630294024573,-46144.96546799959,111295.7178396824
2022-02-01,28266.470006533193,-44691.164273489994,106772.7303028884
2022-03-01,28469.03648310753,-51309.419863988864,103617.39593857936
2022-04-01,28692.70887113571,-49108.15600678682,104304.22947769902
2022-05-01,27226.7559513481,-49084.30575955407,102805.13919492354
2022-06-01,28259.26312707173,-50966.28816513169,96676.24728618206
2022-07-01,29925.505141914186,-48529.31003212905,107708.24509306041
2022-08-01,33435.04819337722,-37831.18582278476,108543.99949912695
2022-09-01,26897.856275260434,-44008.25968369614,102827.44346739205
2022-10-01,24213.39330221085,-53388.794489960885,103305.91149814342
2022-11-01,25600.724066436975,-56281.02162833221,96175.95914220736
2022-12-01,27320.968902034176,-45574.80086942633,103975.67161371336
2023-01-01,30028.824226577202,-43405.2201456909,107889.9119330423
2023-02-01,29644.50608477794,-48205.019550978155,106614.16569303094
2023-03-01,28519.723122316023,-49920.18962947914,110134.38831724795
2023-04-01,29332.06309739597,-49316.62501636162,106681.36060433442
2023-05-01,27685.711225885883,-51869.48755316099,104968.40823441232
2023-06-01,28521.39495849747,-44783.11172683124,105502.76430756776
2023-07-01,30421.456175782834,-47175.12477281649,103169.65848667415
2023-08-01,33688.211434891884,-46417.38868972388,114006.93481114847
2023-09-01,28168.75516260051,-48528.10064197206,104982.42933052212
2023-10-01,25290.29246697558,-46145.312539762774,104294.12048455417
2023-11-01,25250.518701840527,-51666.52846711339,101830.92147752826
2023-12-01,27247.279036815522,-50110.75097578389,102665.14864873418
