ds,yhat,yhat_lower,yhat_upper
2022-01-01,988.8301649399973,-75245.16320357604,74807.95578123137
2022-02-01,751.7875251540345,-79926.87095431128,74642.0240480908
2022-03-01,2695.3008721711394,-75156.55974707393,76958.4007181827
2022-04-01,6628.438653761678,-68110.66372070336,84936.12137494735
2022-05-01,7877.074702134403,-66281.78480922194,82432.14165902021
2022-06-01,-3666.962114337635,-76341.78960482254,69560.011769818
2022-07-01,-3998.303327442727,-79601.03523449371,66528.11230861806
2022-08-01,-3542.3892983446053,-74951.26725972844,72066.67881317729
2022-09-01,-3819.457368513634,-81017.82349415624,76505.75674489225
2022-10-01,6596.230740917236,-66724.98767352318,81948.1531254622
2022-11-01,4564.434201603168,-74115.25285919257,85756.83379915061
2022-12-01,2156.443206462929,-74461.98091950436,76781.0461801034
2023-01-01,-185.21053609644787,-76471.23454441396,78452.8830200443
2023-02-01,-1435.4722183961658,-78471.21095544552,75997.24674377084
2023-03-01,3884.3883079305824,-71862.25874984375,81133.36482834318
2023-04-01,7383.280846735164,-64504.04854733889,84496.65292820732
2023-05-01,8903.69871898346,-66378.04943012947,90778.38677211343
2023-06-01,-5049.529603092164,-83185.84886490094,76760.12724560928
2023-07-01,-4580.0592821180835,-83111.39560535114,69517.53333270854
2023-08-01,-4370.7292676382285,-84126.16430169233,66791.21446807268
2023-09-01,-4981.367460025327,-79621.02292131414,73541.91837986147
2023-10-01,8482.193710001071,-70819.52333460556,85040.86807754176
2023-11-01,5314.947380549094,-67567.38663522997,81297.05869522093
2023-12-01,1885.0822509064271,-74763.12392801893,78603.09394198879
