ds,yhat,yhat_lower,yhat_upper
2022-01-01,22249.064869934038,-60132.859241155915,105528.91999212568
2022-02-01,22116.859246570795,-55263.73008788667,95994.22807826324
2022-03-01,19589.161671136724,-62812.02964858489,94134.27083516166
2022-04-01,18453.080738302964,-55451.029829341125,96517.65047049128
2022-05-01,16856.75772826599,-55933.44126679608,96632.89051793126
2022-06-01,18317.52537058623,-58823.702839869664,94492.6811952644
2022-07-01,19513.96210118533,-62373.785460742874,97204.38523680322
2022-08-01,21504.05543872129,-54331.17254189935,102621.34617198416
2022-09-01,19190.18707895899,-53198.496406717626,97198.68209992808
2022-10-01,16688.007501705528,-63861.7354022759,99729.15337980783
2022-11-01,17106.845577429725,-59794.08110552961,93564.3540086276
2022-12-01,19561.451004222217,-55897.90792518893,96883.30428666691
2023-01-01,22262.72414024247,-59217.48609518024,105861.23640633708
2023-02-01,22033.505079487375,-60430.83276272579,96620.58563242805
2023-03-01,19475.116653790225,-61429.01049671603,95887.51406446539
2023-04-01,18482.74913279533,-61185.4782720567,102804.31917859615
2023-05-01,16888.523049136416,-60429.740918496274,91296.54169691949
2023-06-01,18276.031168440764,-51747.691481415226,98855.97347412034
2023-07-01,19492.805753246772,-59253.6598036289,99450.50446508412
2023-08-01,21469.465712823403,-61056.577393448955,104127.33842471578
2023-09-01,19035.689009147318,-59681.41783167436,105058.59765122345
2023-10-01,16686.39616424833,-63146.52406631819,101345.60671541275
2023-11-01,17120.338122262092,-58434.21995785906,96907.65633127377
2023-12-01,19545.03149892751,-54648.24337031447,94540.43852969464
