ds,yhat,yhat_lower,yhat_upper
2022-01-01,3797.8475968986018,-2858.115660753758,10640.015144963238
2022-02-01,3364.8958806148594,-3782.01486890142,10436.035891886793
2022-03-01,3289.6722179748785,-4115.672015624438,10122.229582167676
2022-04-01,3059.581684859194,-4218.802576540359,10632.700662539886
2022-05-01,2493.855603288655,-4504.91548663845,9868.803723307687
2022-06-01,2186.0111934608094,-4879.310533144844,9169.129243620713
2022-07-01,1993.463465619232,-5587.448241665158,8836.61903065434
2022-08-01,2116.847615008305,-4340.743729528297,9010.099270316387
2022-09-01,2148.9323133628523,-5811.30405641494,9203.760974369166
2022-10-01,2383.7624164697454,-4699.144883906234,9470.262747230827
2022-11-01,2751.7472146138216,-4223.949443423766,9631.189711713057
2022-12-01,3207.4983214904614,-3866.946851729316,10614.857622849315
2023-01-01,4020.84824508065,-3031.397020522698,11298.575698567738
2023-02-01,3982.9499123027354,-3068.311495414665,11211.978677613628
2023-03-01,3284.36486992568,-3925.1771381934914,10593.178582676039
2023-04-01,3134.1956706741794,-3929.9522145508777,10285.071800433894
2023-05-01,2735.079137979924,-4208.598201610394,9961.219631108346
2023-06-01,2427.946333284855,-4998.946026227355,9909.691470187721
2023-07-01,2288.6560833549393,-4696.710811183802,9214.517626336978
2023-08-01,2311.6385747312993,-5128.712824966254,9630.844509663897
2023-09-01,2309.5950671223927,-4461.840997044007,9179.752228275926
2023-10-01,2679.399604576379,-4460.785557688258,10451.813538761224
2023-11-01,2948.46189160525,-4213.495644826665,9867.38542831386
2023-12-01,3173.02320868481,-4072.9884162429635,10017.041986841105
