ds,yhat,yhat_lower,yhat_upper
2022-01-01,12744.69083113603,-104499.49225866806,135294.37565468575
2022-02-01,12186.892791187756,-115126.15893124204,127350.76463217808
2022-03-01,12074.801545885926,-104907.50851352212,139473.34062397195
2022-04-01,11693.1688919913,-99720.05002412868,133642.6772044991
2022-05-01,11731.63910176822,-105975.90057876646,131814.6554523132
2022-06-01,12771.595393235042,-103305.54343285318,137685.8396836676
2022-07-01,14048.819169371829,-107747.911048483,129368.9937713864
2022-08-01,14195.456016929173,-103285.0271243187,127737.28371452357
2022-09-01,12478.990098174905,-105589.31095231186,134407.65933539622
2022-10-01,11252.574645601298,-108510.31730273252,123583.66475757757
2022-11-01,11172.222246351019,-106883.70096990507,138709.46995590857
2022-12-01,12251.03772237813,-106339.00365520852,132595.25462519602
2023-01-01,13694.833742637926,-114937.077785677,134714.74583371435
2023-02-01,13287.188049468874,-99621.31673066311,125327.69403893777
2023-03-01,12643.41584647003,-107273.31242378843,130080.16285175398
2023-04-01,12595.561417986124,-113916.96182480054,134650.88365987936
2023-05-01,12645.60315791311,-108587.11160806096,131548.22945917584
2023-06-01,13441.054655900043,-106501.36594548298,129016.43434277525
2023-07-01,14672.398775343421,-105452.30302368419,127742.12097350127
2023-08-01,15225.743588492007,-112339.53090173691,127929.64802243022
2023-09-01,13440.094197244169,-100798.00242985942,135230.58141567718
2023-10-01,12108.859055182878,-103034.54838449863,133532.76078128046
2023-11-01,11905.844342758151,-98139.57260380506,125867.5424244971
2023-12-01,12763.755726684922,-112681.01717836969,136299.1929544159
