ds,yhat,yhat_lower,yhat_upper
2022-01-01,8080.391101858639,-19196.45376764279,35272.209944029186
2022-02-01,8046.891889192078,-20032.710355539675,35746.285743907145
2022-03-01,6920.152808867816,-21294.99446115636,34966.67285289819
2022-04-01,6482.721720241482,-20589.122236468338,33509.362798671886
2022-05-01,5920.749814710641,-22744.485727014337,34055.56242434212
2022-06-01,6412.382908524545,-20850.26272733196,33539.86090780241
2022-07-01,6994.104827884146,-22704.991830566723,33933.41123176563
2022-08-01,8182.809461895495,-19207.83478980971,36864.90744255278
2022-09-01,7164.132631289797,-20053.709468672067,35707.48161855628
2022-10-01,5930.953546335603,-22987.500344188255,34217.80083950396
2022-11-01,5914.358610112176,-21341.59903925262,33164.62287081153
2022-12-01,7101.404498617241,-22120.701902698802,34722.42078516019
2023-01-01,8299.476618733535,-21177.633708751466,35681.7437984575
2023-02-01,8265.41737813351,-18675.1288972826,35563.776743571274
2023-03-01,6970.079358302129,-21847.453627676918,36984.36108885561
2023-04-01,6709.745828422009,-21640.496100026492,35967.7629493366
2023-05-01,6149.438517217386,-21806.073302223056,32176.859373724936
2023-06-01,6566.768318010756,-20940.597870110287,34857.04404117731
2023-07-01,7037.930470589599,-22826.22553925162,34919.21167263519
2023-08-01,8399.084841745243,-19409.341060636347,35781.16974407226
2023-09-01,7333.44950523734,-18146.875239088105,36889.33208539802
2023-10-01,6166.14863035371,-21370.73919461686,34318.57860178401
2023-11-01,6036.677873627215,-21314.378516189972,31266.50702465402
2023-12-01,7190.492320415802,-19025.0644537884,34108.18131595605
