ds,yhat,yhat_lower,yhat_upper
2022-01-01,18799.537555994055,-71616.44234142991,114722.42036182898
2022-02-01,18101.09745899937,-73488.05984691727,109968.09909951511
2022-03-01,17775.56366982525,-75468.70448792634,106983.63561208494
2022-04-01,17887.630928616116,-74603.22184440568,111802.31722256051
2022-05-01,18013.421603061597,-70794.98538567203,114219.89301368497
2022-06-01,19150.974338457625,-69422.84170787306,122347.60767637928
2022-07-01,20522.50925368937,-71953.28986744437,117963.6131677047
2022-08-01,22635.659372089758,-70832.86622076714,119366.30499248416
2022-09-01,19283.72120434957,-79635.84501257795,116458.10642080483
2022-10-01,16992.61528049716,-79781.71452844345,116532.21768975574
2022-11-01,17285.812551913983,-80397.56730564221,114773.06000643839
2022-12-01,18581.053445347516,-74785.04685875702,111690.0295698456
2023-01-01,20457.38310779577,-74894.027524293,115742.48586039513
2023-02-01,20366.52371415833,-72172.4982454793,116630.14137784057
2023-03-01,18868.298443115204,-71535.90283355532,111718.01713951345
2023-04-01,19416.84060403976,-75618.04702281699,114409.8819487803
2023-05-01,19642.034252608413,-76593.91288895014,113023.44230134874
2023-06-01,20615.402044559632,-76033.97580477952,116755.61202974798
2023-07-01,22026.000475511428,-75741.00045080816,113658.57038966425
2023-08-01,23937.62767473206,-64094.33175296039,116490.56887606614
2023-09-01,21285.654833976714,-74071.80244032839,116894.3896821657
2023-10-01,18939.815832240645,-76232.30697342406,109634.63648993269
2023-11-01,18317.971988811547,-79712.18469204222,105232.10449107655
2023-12-01,19700.785451530308,-72188.32937511486,114933.38154862734
