ds,yhat,yhat_lower,yhat_upper
2022-01-01,6311.795953574023,-19360.137998853956,28871.376922098887
2022-02-01,6241.564102296492,-19140.700122156635,29424.47537000683
2022-03-01,5522.566643895388,-18601.418623886126,32745.60733673848
2022-04-01,5513.651624610797,-18690.215627220052,30530.51810857981
2022-05-01,5076.771013699742,-18600.543861805523,29618.763891553328
2022-06-01,5284.258517901882,-18211.221388019672,29248.07775527935
2022-07-01,5482.6772303574035,-19947.498854699727,30781.860253649742
2022-08-01,6523.982741342914,-19342.24126265019,30057.58815703796
2022-09-01,5619.681290397771,-18709.923435076435,30494.176248271455
2022-10-01,4804.297547435735,-20626.72044320829,28497.986206325226
2022-11-01,5234.486165721635,-18929.78503866926,27937.59622081752
2022-12-01,5711.12625963869,-19128.140214610998,29090.11586555041
2023-01-01,6310.5137616541715,-20590.497375234674,30397.29538208738
2023-02-01,6258.924644496779,-17853.770608697927,30577.852444854314
2023-03-01,5478.281395501111,-17875.510753751958,28286.89587874001
2023-04-01,5548.099216346034,-19347.51329186301,30140.31561948509
2023-05-01,5104.775038160011,-21584.870341947564,28978.05518937929
2023-06-01,5275.7539644123935,-19139.960507756772,29060.24037430446
2023-07-01,5411.948876358226,-21853.406178818586,27837.814697069687
2023-08-01,6476.681986804977,-20363.78407264772,31273.3963678519
2023-09-01,5657.670353063947,-20348.446702491743,30159.41280110358
2023-10-01,4890.29926406839,-21100.00353319823,29814.46948811289
2023-11-01,5176.157363467357,-20294.92736982906,31355.172178025816
2023-12-01,5661.935708743857,-18728.60250733304,31537.242649499745
