ds,yhat,yhat_lower,yhat_upper
2022-01-01,6100.107438503349,-20247.78130321053,30264.057688636898
2022-02-01,6015.448447240535,-18014.605639255795,29175.47025022102
2022-03-01,5373.836337770764,-19697.5492284041,29685.98040574667
2022-04-01,5318.564405799616,-18275.64123748753,28860.90042828043
2022-05-01,4933.412692435702,-19196.514312417792,30534.40332495377
2022-06-01,5138.874433349631,-18322.178709900727,27438.816684783513
2022-07-01,5440.606226664718,-20288.975033723716,28966.955858306148
2022-08-01,6264.491069113877,-19190.590133330537,31552.383881301612
2022-09-01,5232.669795907737,-20238.133954154047,29614.88948000005
2022-10-01,4693.176634737807,-19789.25860105692,30089.174002782267
2022-11-01,5246.3748370300455,-19258.880837819448,30216.591852034482
2022-12-01,5782.572627184335,-19359.65162736343,28640.615898802516
2023-01-01,6496.641773219872,-17283.17035686412,32778.688138006146
2023-02-01,6499.637173469215,-17753.570651311402,31675.910481413746
2023-03-01,5667.724322099801,-19515.16697902049,29382.292730842342
2023-04-01,5695.644279705376,-18915.309065065656,30041.71502330103
2023-05-01,5328.009043031599,-16918.584670370226,29900.32376572932
2023-06-01,5487.834279100153,-18144.81157086827,28849.89190020088
2023-07-01,5787.472405583938,-19362.793859787264,29845.38021653276
2023-08-01,6571.776779686492,-19543.2087803889,31310.241097975377
2023-09-01,5689.2501273282705,-18028.598836831425,31230.243720765255
2023-10-01,5162.083261975594,-18530.560042404944,28024.87254264788
2023-11-01,5513.36287411841,-19337.693385456303,29331.450104349027
2023-12-01,6054.000758500504,-19785.154180382073,31300.573122913374
