ds,yhat,yhat_lower,yhat_upper
2022-01-01,3819.115415034466,-4803.769989914721,12262.683853827912
2022-02-01,3693.018746230859,-4948.002789204645,12382.534791046313
2022-03-01,3262.9971678953852,-5047.2478661848,11144.307673457866
2022-04-01,3206.923196066827,-5564.496687166975,12418.953810901015
2022-05-01,2886.0624076949216,-5366.141168779292,11183.843125879703
2022-06-01,2976.186724609447,-5914.783108197413,11385.85020631987
2022-07-01,3116.2612431028006,-5094.20342982124,11374.845302969392
2022-08-01,3433.268572840817,-4449.972676989393,11502.795964539991
2022-09-01,2980.599423606468,-5250.505930864176,12079.230844459702
2022-10-01,2785.833535257376,-5978.679997672414,11194.977662427526
2022-11-01,3165.185231407457,-5368.842999478145,11359.4395817047
2022-12-01,3616.689346989676,-5455.318225728377,11890.666527585507
2023-01-01,4070.239508173657,-3935.657402908468,12451.3938327318
2023-02-01,3980.035249795183,-4574.731421249664,12129.974866914756
2023-03-01,3347.101570425636,-5337.175144882456,11500.090193661248
2023-04-01,3408.7472041930105,-5529.579806935219,11972.434725276993
2023-05-01,3098.1102621802647,-5519.782172265697,11205.469039070205
2023-06-01,3177.842660646985,-4795.1621632097385,11500.69489109585
2023-07-01,3326.8482281539063,-5574.86294907205,11539.648948452483
2023-08-01,3635.097797697887,-4625.557896996666,11915.463958939154
2023-09-01,3172.01323999741,-5883.748962557762,11215.554441851638
2023-10-01,2986.2440225093624,-5768.004529406966,11888.26345317646
2023-11-01,3322.5001319634603,-5131.3418134318035,11927.001497367302
2023-12-01,3777.154482517884,-4581.152450742089,12317.438761332378
