ds,yhat,yhat_lower,yhat_upper
2022-01-01,8589.640658893859,-17089.035212625477,37253.91433537626
2022-02-01,8325.62417539935,-21816.313423580865,36656.25270436301
2022-03-01,7304.211479752847,-21803.267795001888,35810.28748318931
2022-04-01,6879.4107916304,-20754.75265997875,34030.674715788984
2022-05-01,6313.433994926176,-23111.131055449943,32337.49834798672
2022-06-01,6903.716121344713,-22528.763279419694,33685.65381075714
2022-07-01,7593.551622194595,-21487.892354738975,33782.725693481705
2022-08-01,8564.93361026677,-19428.090112204052,36395.68706934475
2022-09-01,7014.841817205554,-20001.173462750285,33987.84214212162
2022-10-01,6125.109253349226,-23994.3239760303,33211.383350333934
2022-11-01,6863.532442689815,-20506.911973802115,35436.918359111
2022-12-01,8011.4219483432025,-19085.45683687698,35163.18078694066
2023-01-01,8921.529499317086,-19214.806102465725,35941.233012714314
2023-02-01,8732.35902350098,-20657.61649855448,37725.82978782367
2023-03-01,7433.340523811865,-20296.64273185505,34961.32079974187
2023-04-01,7205.268082555837,-21781.383753029095,33783.898485081954
2023-05-01,6637.528562550835,-20295.99959007866,34432.36092686305
2023-06-01,7150.339455326086,-19462.125092182567,34893.42589414036
2023-07-01,7842.405110179757,-20422.037982376172,35355.40384661723
2023-08-01,8834.001122249078,-20353.559310823555,36266.14633844792
2023-09-01,7354.455782900818,-20111.97815869085,35545.86909540999
2023-10-01,6455.756962374479,-21267.31323882755,33616.156690471835
2023-11-01,7046.716225494828,-23828.782758369773,34711.51100449882
2023-12-01,8226.990012586199,-19675.73127979339,36540.07330426853
