ds,yhat,yhat_lower,yhat_upper
2022-01-01,6385.105327219436,-49533.42571899597,56590.96164258876
2022-02-01,6351.65860386022,-44251.774502455635,62567.51452144678
2022-03-01,5626.417074012673,-46694.0987364524,60492.93668898155
2022-04-01,5580.763377880054,-48453.94599984782,59749.53501363513
2022-05-01,5238.724378219687,-44386.04904424002,53198.24282209349
2022-06-01,5620.442714770225,-42999.426321135164,60489.13795947385
2022-07-01,6052.728539462657,-48645.61790689142,58065.483074271186
2022-08-01,6783.038146505642,-47385.96226443927,60995.20003863319
2022-09-01,6363.067534695472,-43880.490438680485,62253.341201680036
2022-10-01,5477.177843549164,-47817.86843990666,54611.67369333706
2022-11-01,5468.264637502025,-49790.777051916804,54350.120846074205
2022-12-01,5803.803649056316,-46238.30722127626,55875.286684062135
2023-01-01,6581.754038964807,-43821.274842106075,58515.28268488739
2023-02-01,6544.340050625885,-49602.08738370194,59674.08515555405
2023-03-01,5608.696415676923,-47598.36061366148,59211.65572308719
2023-04-01,5706.8413299523445,-44338.66563287005,58897.83306802231
2023-05-01,5418.286687997423,-47880.49977830776,60035.55084670905
2023-06-01,5776.973195899294,-42394.92520024922,58033.53163072298
2023-07-01,6173.1572744374935,-48749.72710920505,57498.06778076177
2023-08-01,6907.854813750682,-46374.85982467777,61753.54772668348
2023-09-01,6417.565718675441,-43436.705674981786,58937.07778266307
2023-10-01,5632.393408593871,-48895.762735154174,57479.01446801123
2023-11-01,5595.458414310473,-48380.829029375556,56356.07879560277
2023-12-01,5895.0195160276135,-44286.803952263974,55822.069761326005
