ds,yhat,yhat_lower,yhat_upper
2022-01-01,10664.277248229944,-1818.2556784726614,23329.39934318009
2022-02-01,11279.384996100809,-1494.2713003134052,25144.57436635149
2022-03-01,9925.837609173745,-2218.0246018958574,21688.144027350805
2022-04-01,8977.78615830208,-4538.237269523077,20663.100541502678
2022-05-01,7873.667368058725,-4932.032078305621,19651.46768099865
2022-06-01,7156.0582759498375,-5979.740521037897,19442.398678011745
2022-07-01,6633.00319951168,-6348.916667806176,19805.47524177725
2022-08-01,7159.437047882904,-5893.325667155409,20404.24778738132
2022-09-01,7148.062232456473,-5899.297636224739,19740.18170649006
2022-10-01,6721.382911168268,-6056.974449102169,18682.732333170872
2022-11-01,8104.102553586086,-4591.47576475782,22236.02697956033
2022-12-01,9578.481136539742,-3043.312830429821,21866.27437796832
2023-01-01,11390.530698622577,-742.2987587096464,24334.520395217307
2023-02-01,11967.56116143803,-600.5660327812068,24414.375158773215
2023-03-01,10896.7336436045,-2297.9863723796725,23435.204224259585
2023-04-01,9853.92815143707,-2894.331167650221,22173.51208756711
2023-05-01,8794.476889105365,-4531.952398810288,21627.907948463802
2023-06-01,8038.575595152495,-4801.41748111796,21439.5333353758
2023-07-01,7482.461265237562,-5275.46166386827,20981.159782115334
2023-08-01,7916.815882027948,-4017.508308948341,20320.825423080816
2023-09-01,7874.016384057269,-4087.195869559893,20032.26072167353
2023-10-01,7617.470977082561,-4779.412807451769,20158.96689543917
2023-11-01,9149.75081580056,-3805.3603470795074,21641.702158567226
2023-12-01,10457.70803182371,-2783.7525712971255,22726.651411117768
