ds,yhat,yhat_lower,yhat_upper
2022-01-01,18611.52300507037,-89051.34652287382,116400.26142815921
2022-02-01,18161.233992763693,-79546.8899011377,121794.54606177843
2022-03-01,16314.861918007526,-83509.18927405636,127222.44651529189
2022-04-01,15830.434720262967,-86176.21686056329,123805.8208381473
2022-05-01,15546.265298800134,-94779.5006343498,113454.84837308008
2022-06-01,16705.078508228115,-87265.88538698528,113333.04303988646
2022-07-01,18622.44332200165,-83883.25035703844,121309.85473336968
2022-08-01,20738.899643995228,-88372.04328547674,121762.12480635545
2022-09-01,17678.221178049065,-84339.11370086402,122744.58640480362
2022-10-01,15542.203153314187,-83072.28276623604,111544.109978039
2022-11-01,15752.813008628258,-90775.24810904838,122314.15844580112
2022-12-01,17397.100218045118,-85537.97797570024,119788.65853650749
2023-01-01,19256.442482577448,-91214.7834123887,114820.48173896663
2023-02-01,18625.911106300828,-85565.95025677275,113604.26738578072
2023-03-01,17056.980882464894,-87728.84112087796,123184.65500209341
2023-04-01,16736.449421108617,-83335.47620998384,121014.2977666266
2023-05-01,16072.216228798185,-90105.50025910782,117383.71934737016
2023-06-01,17105.60356130745,-88826.74500656822,116332.2962498763
2023-07-01,19067.36049358027,-85364.59897707957,122930.47140617188
2023-08-01,21309.64600495588,-82354.73926341206,130766.28195443195
2023-09-01,18544.545643229976,-83848.90451589947,119274.03920893908
2023-10-01,16422.955773906036,-80753.3284587827,115247.24509025391
2023-11-01,16157.192809259739,-90295.55176474205,114477.39075253616
2023-12-01,17830.195185511246,-90400.96988263354,120943.56725622994
