ds,yhat,yhat_lower,yhat_upper
2022-01-01,10066.451776629752,-28650.213677586125,44961.71395239281
2022-02-01,10096.511031468955,-26325.272962270075,46820.96522078964
2022-03-01,8038.104007099715,-26226.752891535616,44422.710899630714
2022-04-01,7211.125555072097,-29583.08652582595,40682.09637271549
2022-05-01,6596.941657748756,-30727.18960056909,43011.62964986844
2022-06-01,7532.331488444126,-28491.44149201212,43358.58719754485
2022-07-01,8290.646952951272,-28242.87551566408,46141.99405595828
2022-08-01,10006.937591663007,-26108.674591339688,45925.63047557387
2022-09-01,8782.215390705964,-28722.348821070515,42810.34106566479
2022-10-01,6837.157461327748,-31400.163239755588,42465.75678576708
2022-11-01,6292.797618035391,-30831.115004108855,41910.78213158666
2022-12-01,7743.900640711691,-27376.823131671485,44324.75290524176
2023-01-01,9811.023160289313,-26315.83967526812,46904.48652082927
2023-02-01,9780.419410389812,-25964.93081951915,49318.646654733566
2023-03-01,7682.443712561398,-26797.6187978671,43565.647708448174
2023-04-01,7027.803567879503,-26259.012371240064,44075.55103804302
2023-05-01,6327.552730379195,-28025.74081451642,41395.97679719929
2023-06-01,7223.450185041391,-27709.46595623346,45531.034429001615
2023-07-01,7790.265702904806,-26486.24177781954,45740.80753947393
2023-08-01,9823.01127903056,-24488.00839183555,48982.33366931571
2023-09-01,8460.802357050641,-23822.48800738397,43457.30453005652
2023-10-01,6622.403332391774,-27757.926817332933,45555.41393877554
2023-11-01,5998.606786021421,-31250.635640772307,41507.637767148255
2023-12-01,7335.815077466647,-29678.164697950524,44227.861534596865
