ds,yhat,yhat_lower,yhat_upper
2022-01-01,9952.265160663246,-28560.773385441804,48222.09053700401
2022-02-01,9907.938500744787,-29153.8007519962,48555.71726841493
2022-03-01,8640.485537032164,-28738.833045692634,48345.19909105624
2022-04-01,8562.699896153672,-28944.95980655615,50904.98923726136
2022-05-01,8041.7875496465185,-30317.433274054743,49936.80559827842
2022-06-01,8476.826610129903,-28723.01444400849,49405.1702572154
2022-07-01,9159.408082781001,-33434.20038744269,46183.94133784928
2022-08-01,11225.826997417545,-31709.32129543499,50618.79960478828
2022-09-01,8788.150697664427,-30980.69301883602,49017.42828251564
2022-10-01,7501.1610699784405,-33380.62823660948,48387.771535050866
2022-11-01,8076.9882031306415,-31068.46283689222,47654.11932921683
2022-12-01,8996.812987658925,-32249.335121163847,49566.92266679349
2023-01-01,10251.636187474736,-31251.8080087696,47731.37390232947
2023-02-01,10320.103314012928,-28206.53860287909,49657.40615952241
2023-03-01,8727.185088298744,-32488.97506632682,48498.72653581619
2023-04-01,8831.091255970965,-34635.90808328021,48827.758455822244
2023-05-01,8371.192177881032,-32187.320883203727,51935.05316614081
2023-06-01,8662.050166938161,-28581.833721656276,47457.20042908082
2023-07-01,9267.409991152554,-30630.927642760485,46491.6949180137
2023-08-01,11406.809999028468,-28482.048386480834,48300.69330122656
2023-09-01,9206.176408075275,-31875.02273003131,46831.22564528757
2023-10-01,7919.657913491913,-32208.45754422925,45935.49742043752
2023-11-01,8082.003579050497,-30124.523828073012,48740.530512772566
2023-12-01,9100.45575610542,-30030.55229150881,47566.03061862285
