ds,yhat,yhat_lower,yhat_upper
2022-01-01,6371.8035863862415,-6531.4036165338175,19564.291945394703
2022-02-01,6603.460874680543,-6798.145913602688,19150.52043895696
2022-03-01,5814.33981198142,-7222.253141374901,18806.196542110905
2022-04-01,5137.79180800119,-7982.007278774654,18454.153623031936
2022-05-01,4138.189830333013,-9521.951135588719,17016.450758344927
2022-06-01,4195.218077857683,-9585.220579548042,17226.010786855768
2022-07-01,4215.959999188727,-9580.588414372134,18000.648299141532
2022-08-01,4598.473916740564,-8438.809155773157,18292.72687012848
2022-09-01,4470.610586578336,-8280.956483080447,17937.857854873873
2022-10-01,3826.3678409637387,-9591.640949167175,17253.216960247595
2022-11-01,4029.174752094184,-8647.647241140705,17968.934694978157
2022-12-01,4668.269851255292,-7825.655434702262,17917.370245396898
2023-01-01,6127.334222933417,-6837.528587699513,19172.131500784188
2023-02-01,6362.515752679846,-8037.034349515628,19221.288857592488
2023-03-01,5537.493781126631,-7429.497846547819,18874.77890154152
2023-04-01,4886.587835758816,-8534.040351669935,17631.939294689644
2023-05-01,3889.5450796314667,-9658.26458277992,17603.627309006097
2023-06-01,3946.6820114520833,-9035.490428328414,17096.572968928533
2023-07-01,3960.1695154761646,-9258.636570952478,16662.607793125615
2023-08-01,4359.916331756297,-9337.733819078927,16760.518011483582
2023-09-01,4197.872867833461,-8344.790814225138,17280.733126062092
2023-10-01,3562.435510434863,-9478.645699873354,16342.775961988758
2023-11-01,3767.9479742281683,-9720.063584110621,16698.16532678956
2023-12-01,4406.715588275731,-8317.689144601556,18707.28941708046
