ds,yhat,yhat_lower,yhat_upper
2022-01-01,2860.574016668383,-1129.859709056799,6763.084627944304
2022-02-01,2746.7779805701275,-1432.566560711743,6858.433409720051
2022-03-01,2314.5374551246305,-1937.7039491095566,6157.624678739669
2022-04-01,2149.6047370920337,-1736.95231722991,6034.815170950996
2022-05-01,1876.19126390371,-2086.518098814921,5836.018905066627
2022-06-01,1981.3758772795704,-2327.580423860184,6026.878958833665
2022-07-01,2120.579519820194,-1801.1629437496808,6490.242628878706
2022-08-01,2418.7167469319716,-1652.1869047480336,6571.40597033407
2022-09-01,1974.9837760921437,-1990.3086135536375,5606.678441413295
2022-10-01,1844.6752977651818,-2376.636918923285,5864.743656778497
2022-11-01,2262.973216135282,-1946.9513827516666,5872.774336178982
2022-12-01,2596.3927940007875,-1606.9599653212967,6518.126373880917
2023-01-01,2909.9370751992246,-1108.5463345216615,7019.4484805677885
2023-02-01,2783.1756287067074,-1184.1694242092535,6784.04145462279
2023-03-01,2288.9274344702258,-1594.7271016293123,6611.720458779317
2023-04-01,2174.8509979627806,-2105.827159566245,6110.665617550347
2023-05-01,1900.5493027015227,-2056.0451215502294,5639.006910624994
2023-06-01,1992.106414588625,-1938.4098615996934,6186.406431551777
2023-07-01,2146.9790066475066,-2078.424264480188,6159.540752206099
2023-08-01,2442.63910520319,-1604.9801013508973,6448.108891871949
2023-09-01,1967.268811536371,-1823.083375706164,6323.454913156623
2023-10-01,1874.5954413541538,-2083.4259099685546,5960.388869505594
2023-11-01,2261.2575157057977,-1777.276032319634,6236.033617547232
2023-12-01,2596.2842013201575,-1302.9067126397636,6496.5722468481235
