YYYY-MM,ELRW_USQNT
2015-01,17629.0
2015-02,19926.0
2015-03,16224.0
2015-04,16490.0
2015-05,14625.0
2015-06,12401.0
2015-07,11747.0
2015-08,12938.0
2015-09,12747.0
2015-10,11143.0
2015-11,11523.0
2015-12,16157.0
2016-01,17956.0
2016-02,25601.0
2016-03,25704.0
2016-04,23773.0
2016-05,24145.0
2016-06,24096.0
2016-07,20124.0
2016-08,15920.0
2016-09,15804.0
2016-10,13976.0
2016-11,19515.0
2016-12,22141.0
2017-01,22788.0
2017-02,19108.0
2017-03,11343.0
2017-04,10078.0
2017-05,8668.0
2017-06,6826.0
2017-07,6072.0
2017-08,6523.0
2017-09,5758.0
2017-10,5895.0
2017-11,9150.0
2017-12,11042.0
2018-01,12996.0
2018-02,17123.0
2018-03,12894.0
2018-04,11339.0
2018-05,9737.0
2018-06,7036.0
2018-07,6400.0
2018-08,8235.0
2018-09,7393.0
2018-10,6567.0
2018-11,10199.0
2018-12,11477.0
2019-01,16279.0
2019-02,20061.0
2019-03,20546.0
2019-04,19152.0
2019-05,14753.0
2019-06,8104.0
2019-07,6525.0
2019-08,7540.0
2019-09,7100.0
2019-10,8692.0
2019-11,14446.0
2019-12,20431.0
2020-01,19429.0
2020-02,6780.0
2020-03,4929.0
2020-04,5154.0
2020-05,5078.0
2020-06,4663.0
2020-07,4685.0
2020-08,5031.0
2020-09,5700.0
2020-10,4531.0
2020-11,5236.0
2020-12,5414.0
2021-01,6956.0
2021-02,7180.0
2021-03,5719.0
2021-04,5957.0
2021-05,5228.0
2021-06,4587.0
2021-07,4798.0
2021-08,6314.0
2021-09,4956.0
2021-10,4280.0
2021-11,4678.0
2021-12,5461.0
2022-01,6040.0
2022-02,6953.0
2022-03,5170.0
2022-04,5064.0
2022-05,4326.0
2022-06,4240.0
2022-07,5135.0
2022-08,5512.0
2022-09,4993.0
2022-10,4307.0
2022-11,4573.0
2022-12,5590.0
