YYYY-MM,CTY_GAS_USQNT
2015-01,715555.0
2015-02,626112.0
2015-03,716510.0
2015-04,459216.0
2015-05,327039.0
2015-06,226112.0
2015-07,227389.0
2015-08,211048.0
2015-09,183830.0
2015-10,224858.0
2015-11,355710.0
2015-12,517411.0
2016-01,786298.0
2016-02,909756.0
2016-03,729756.0
2016-04,527860.0
2016-05,343819.0
2016-06,262243.0
2016-07,245639.0
2016-08,224622.0
2016-09,203472.0
2016-10,247369.0
2016-11,415395.0
2016-12,754174.0
2017-01,874231.0
2017-02,949928.0
2017-03,806957.0
2017-04,636972.0
2017-05,373575.0
2017-06,258879.0
2017-07,231164.0
2017-08,225341.0
2017-09,197381.0
2017-10,221630.0
2017-11,284649.0
2017-12,562001.0
2018-01,649877.0
2018-02,672816.0
2018-03,558227.0
2018-04,406501.0
2018-05,276802.0
2018-06,218161.0
2018-07,193980.0
2018-08,182102.0
2018-09,159850.0
2018-10,191656.0
2018-11,334013.0
2018-12,522513.0
2019-01,677206.0
2019-02,635484.0
2019-03,488709.0
2019-04,424989.0
2019-05,290502.0
2019-06,221690.0
2019-07,192194.0
2019-08,193566.0
2019-09,162154.0
2019-10,193963.0
2019-11,292020.0
2019-12,210104.0
2020-01,579050.0
2020-02,1184817.0
2020-03,970810.0
2020-04,704360.0
2020-05,518357.0
2020-06,335796.0
2020-07,319049.0
2020-08,302371.0
2020-09,161562.0
2020-10,182233.0
2020-11,650336.0
2020-12,962505.0
2021-01,1434132.0
2021-02,1233493.0
2021-03,949364.0
2021-04,726347.0
2021-05,504825.0
2021-06,385597.0
2021-07,306145.0
2021-08,272329.0
2021-09,234299.0
2021-10,289302.0
2021-11,647418.0
2021-12,956995.0
2022-01,1342319.0
2022-02,1344177.0
2022-03,1055679.0
2022-04,776994.0
2022-05,443746.0
2022-06,336542.0
2022-07,298592.0
2022-08,320667.0
2022-09,267019.0
2022-10,355873.0
2022-11,613232.0
2022-12,1021091.0
