YYYY-MM,ELRW_USQNT
2015-01,1522422.0
2015-02,1490376.0
2015-03,1210179.0
2015-04,1164032.0
2015-05,972671.0
2015-06,965017.0
2015-07,1047331.0
2015-08,1272362.0
2015-09,1198358.0
2015-10,924687.0
2015-11,979379.0
2015-12,1146462.0
2016-01,1222925.0
2016-02,1371735.0
2016-03,1124478.0
2016-04,1023770.0
2016-05,869194.0
2016-06,922959.0
2016-07,936749.0
2016-08,1157905.0
2016-09,1133633.0
2016-10,818245.0
2016-11,843394.0
2016-12,981644.0
2017-01,1119193.0
2017-02,1179035.0
2017-03,931293.0
2017-04,882090.0
2017-05,716316.0
2017-06,761539.0
2017-07,923294.0
2017-08,1105847.0
2017-09,1034287.0
2017-10,836019.0
2017-11,944757.0
2017-12,1144598.0
2018-01,1358024.0
2018-02,1455802.0
2018-03,1157731.0
2018-04,1098960.0
2018-05,916692.0
2018-06,976224.0
2018-07,1071851.0
2018-08,1394719.0
2018-09,1238929.0
2018-10,879483.0
2018-11,921934.0
2018-12,1079213.0
2019-01,1303795.0
2019-02,1187224.0
2019-03,1027891.0
2019-04,1040093.0
2019-05,898954.0
2019-06,930698.0
2019-07,1006937.0
2019-08,1216897.0
2019-09,1186140.0
2019-10,921237.0
2019-11,899866.0
2019-12,1061359.0
2020-01,1197122.0
2020-02,1336327.0
2020-03,1216717.0
2020-04,1123055.0
2020-05,1010405.0
2020-06,1050390.0
2020-07,1167217.0
2020-08,1248935.0
2020-09,1215379.0
2020-10,858320.0
2020-11,1071578.0
2020-12,1191831.0
2021-01,1424341.0
2021-02,1466208.0
2021-03,1163702.0
2021-04,1123521.0
2021-05,1002769.0
2021-06,1089627.0
2021-07,1254726.0
2021-08,1576505.0
2021-09,1344044.0
2021-10,1134327.0
2021-11,1154725.0
2021-12,1243909.0
2022-01,1460594.0
2022-02,1489227.0
2022-03,1293822.0
2022-04,1211207.0
2022-05,1052168.0
2022-06,1111285.0
2022-07,1265872.0
2022-08,1466214.0
2022-09,1318635.0
2022-10,1064261.0
2022-11,1018593.0
2022-12,1125773.0
