YYYY-MM,CTY_GAS_USQNT
2015-01,237729.0
2015-02,193437.0
2015-03,188090.0
2015-04,185830.0
2015-05,147952.0
2015-06,124327.0
2015-07,106967.0
2015-08,125017.0
2015-09,91388.0
2015-10,119268.0
2015-11,156257.0
2015-12,225370.0
2016-01,329973.0
2016-02,375684.0
2016-03,314366.0
2016-04,264753.0
2016-05,181182.0
2016-06,139522.0
2016-07,131177.0
2016-08,115742.0
2016-09,96020.0
2016-10,130108.0
2016-11,196485.0
2016-12,310064.0
2017-01,376727.0
2017-02,399673.0
2017-03,210788.0
2017-04,229136.0
2017-05,127673.0
2017-06,155888.0
2017-07,100395.0
2017-08,152446.0
2017-09,92163.0
2017-10,145053.0
2017-11,119481.0
2017-12,225468.0
2018-01,230253.0
2018-02,265754.0
2018-03,187713.0
2018-04,202283.0
2018-05,122275.0
2018-06,144147.0
2018-07,101135.0
2018-08,137128.0
2018-09,76142.0
2018-10,143620.0
2018-11,136777.0
2018-12,218304.0
2019-01,244477.0
2019-02,241012.0
2019-03,187810.0
2019-04,219696.0
2019-05,138607.0
2019-06,154568.0
2019-07,104633.0
2019-08,150464.0
2019-09,81138.0
2019-10,156208.0
2019-11,122311.0
2019-12,102279.0
2020-01,215401.0
2020-02,232675.0
2020-03,175954.0
2020-04,179648.0
2020-05,106199.0
2020-06,133656.0
2020-07,100650.0
2020-08,155479.0
2020-09,44999.0
2020-10,36296.0
2020-11,129332.0
2020-12,216323.0
2021-01,232155.0
2021-02,289882.0
2021-03,178977.0
2021-04,201956.0
2021-05,127920.0
2021-06,150436.0
2021-07,98872.0
2021-08,140489.0
2021-09,82208.0
2021-10,146035.0
2021-11,125975.0
2021-12,206207.0
2022-01,217115.0
2022-02,252766.0
2022-03,193930.0
2022-04,196583.0
2022-05,117626.0
2022-06,143098.0
2022-07,93046.0
2022-08,128859.0
2022-09,75373.0
2022-10,130092.0
2022-11,126108.0
2022-12,181291.0
