YYYY-MM,ELRW_USQNT
2015-01,877749.0
2015-02,883112.0
2015-03,762848.0
2015-04,779048.0
2015-05,698328.0
2015-06,727303.0
2015-07,755326.0
2015-08,923397.0
2015-09,790043.0
2015-10,698679.0
2015-11,740092.0
2015-12,751563.0
2016-01,828824.0
2016-02,859641.0
2016-03,779908.0
2016-04,762637.0
2016-05,692817.0
2016-06,741160.0
2016-07,676520.0
2016-08,826660.0
2016-09,730408.0
2016-10,590467.0
2016-11,603967.0
2016-12,657908.0
2017-01,717102.0
2017-02,740999.0
2017-03,657613.0
2017-04,663773.0
2017-05,578744.0
2017-06,597084.0
2017-07,737218.0
2017-08,856136.0
2017-09,718247.0
2017-10,634347.0
2017-11,672083.0
2017-12,729427.0
2018-01,794486.0
2018-02,818235.0
2018-03,672248.0
2018-04,671335.0
2018-05,639020.0
2018-06,675527.0
2018-07,744112.0
2018-08,1046709.0
2018-09,764267.0
2018-10,628294.0
2018-11,666435.0
2018-12,715484.0
2019-01,810843.0
2019-02,777789.0
2019-03,669885.0
2019-04,672214.0
2019-05,618447.0
2019-06,652623.0
2019-07,688731.0
2019-08,923631.0
2019-09,754526.0
2019-10,637614.0
2019-11,645370.0
2019-12,700696.0
2020-01,757534.0
2020-02,747190.0
2020-03,657366.0
2020-04,637627.0
2020-05,606653.0
2020-06,664172.0
2020-07,689059.0
2020-08,796696.0
2020-09,256034.0
2020-10,187315.0
2020-11,628661.0
2020-12,675999.0
2021-01,758448.0
2021-02,732872.0
2021-03,616110.0
2021-04,611991.0
2021-05,579739.0
2021-06,628802.0
2021-07,730641.0
2021-08,912468.0
2021-09,678706.0
2021-10,634656.0
2021-11,627279.0
2021-12,663346.0
2022-01,747370.0
2022-02,735346.0
2022-03,638120.0
2022-04,630578.0
2022-05,584027.0
2022-06,637173.0
2022-07,818570.0
2022-08,891658.0
2022-09,719073.0
2022-10,702187.0
2022-11,705623.0
2022-12,757687.0
