YYYY-MM,CTY_GAS_USQNT
2015-01,16023221.0
2015-02,15175802.0
2015-03,13111401.0
2015-04,10638040.0
2015-05,6799845.0
2015-06,4312758.0
2015-07,3385254.0
2015-08,3012824.0
2015-09,2881272.0
2015-10,3003897.0
2015-11,4463743.0
2015-12,8298518.0
2016-01,12471712.0
2016-02,15203373.0
2016-03,13046294.0
2016-04,9602526.0
2016-05,5664543.0
2016-06,3887798.0
2016-07,3348588.0
2016-08,2859415.0
2016-09,2630733.0
2016-10,2906983.0
2016-11,4799848.0
2016-12,9348579.0
2017-01,12382971.0
2017-02,14349539.0
2017-03,13304765.0
2017-04,10589518.0
2017-05,6081672.0
2017-06,4165288.0
2017-07,3564399.0
2017-08,3202767.0
2017-09,3047183.0
2017-10,2879676.0
2017-11,5107068.0
2017-12,10612242.0
2018-01,15118638.0
2018-02,16446526.0
2018-03,13593169.0
2018-04,9433536.0
2018-05,6057280.0
2018-06,3616706.0
2018-07,3139089.0
2018-08,2766779.0
2018-09,2586415.0
2018-10,2936548.0
2018-11,5620908.0
2018-12,9415204.0
2019-01,14036797.0
2019-02,14237295.0
2019-03,12010804.0
2019-04,9607537.0
2019-05,6531333.0
2019-06,3835271.0
2019-07,2960256.0
2019-08,2761483.0
2019-09,2481996.0
2019-10,2923755.0
2019-11,4684321.0
2019-12,4419479.0
2020-01,13226489.0
2020-02,13436573.0
2020-03,11678804.0
2020-04,9222561.0
2020-05,6896137.0
2020-06,3876883.0
2020-07,3046904.0
2020-08,2866306.0
2020-09,648125.0
2020-10,497312.0
2020-11,5385455.0
2020-12,9280477.0
2021-01,15001534.0
2021-02,15123867.0
2021-03,11367276.0
2021-04,8428297.0
2021-05,5442670.0
2021-06,4196002.0
2021-07,3201191.0
2021-08,2834265.0
2021-09,2666622.0
2021-10,3084649.0
2021-11,6085450.0
2021-12,10150738.0
2022-01,15888940.0
2022-02,17309240.0
2022-03,14531810.0
2022-04,10725581.0
2022-05,5858328.0
2022-06,4133637.0
2022-07,3134695.0
2022-08,2943139.0
2022-09,3031823.0
2022-10,3142164.0
2022-11,5451573.0
2022-12,9485383.0
