YYYY-MM,ELRW_USQNT
2015-01,1041232.0
2015-02,919864.0
2015-03,1040196.0
2015-04,996479.0
2015-05,998111.0
2015-06,1027106.0
2015-07,1061334.0
2015-08,1074498.0
2015-09,962136.0
2015-10,953063.0
2015-11,943757.0
2015-12,1007302.0
2016-01,1000336.0
2016-02,939698.0
2016-03,992731.0
2016-04,977376.0
2016-05,1019443.0
2016-06,1040455.0
2016-07,1087536.0
2016-08,1128162.0
2016-09,959009.0
2016-10,994382.0
2016-11,922011.0
2016-12,916083.0
2017-01,906292.0
2017-02,835794.0
2017-03,913274.0
2017-04,920424.0
2017-05,976833.0
2017-06,972621.0
2017-07,1068984.0
2017-08,1056439.0
2017-09,993583.0
2017-10,958474.0
2017-11,877131.0
2017-12,999235.0
2018-01,1029353.0
2018-02,957157.0
2018-03,974704.0
2018-04,921615.0
2018-05,1001234.0
2018-06,1016251.0
2018-07,1079416.0
2018-08,1061353.0
2018-09,901327.0
2018-10,897521.0
2018-11,866514.0
2018-12,871575.0
2019-01,918620.0
2019-02,784154.0
2019-03,867216.0
2019-04,859395.0
2019-05,938265.0
2019-06,899775.0
2019-07,1079984.0
2019-08,1158796.0
2019-09,1105037.0
2019-10,1079194.0
2019-11,1020664.0
2019-12,1004390.0
2020-01,984872.0
2020-02,951965.0
2020-03,1016784.0
2020-04,1017016.0
2020-05,1172742.0
2020-06,1144213.0
2020-07,1132003.0
2020-08,1171665.0
2020-09,1113259.0
2020-10,1086146.0
2020-11,1079670.0
2020-12,1099756.0
2021-01,1196714.0
2021-02,1024314.0
2021-03,1074358.0
2021-04,1086569.0
2021-05,1129376.0
2021-06,1202092.0
2021-07,1311850.0
2021-08,1251396.0
2021-09,1153858.0
2021-10,1156077.0
2021-11,1098817.0
2021-12,1099149.0
2022-01,1119304.0
2022-02,972844.0
2022-03,1093801.0
2022-04,1087007.0
2022-05,1189352.0
2022-06,1198203.0
2022-07,1296038.0
2022-08,1309653.0
2022-09,1192866.0
2022-10,1207540.0
2022-11,1161322.0
2022-12,1127294.0
