YYYY-MM,ELRW_USQNT
2015-01,3602572.0
2015-02,3525893.0
2015-03,2945538.0
2015-04,2960683.0
2015-05,2651337.0
2015-06,2713570.0
2015-07,2815571.0
2015-08,3461152.0
2015-09,3044290.0
2015-10,2562564.0
2015-11,2713927.0
2015-12,2976684.0
2016-01,2609474.0
2016-02,2787889.0
2016-03,2413970.0
2016-04,2324708.0
2016-05,2103854.0
2016-06,2266322.0
2016-07,2346761.0
2016-08,2999754.0
2016-09,2617249.0
2016-10,2061376.0
2016-11,2127800.0
2016-12,2310641.0
2017-01,2530822.0
2017-02,2603701.0
2017-03,2023289.0
2017-04,2083396.0
2017-05,1888315.0
2017-06,1516020.0
2017-07,2184735.0
2017-08,1275605.0
2017-09,1124397.0
2017-10,2020650.0
2017-11,2126858.0
2017-12,2433358.0
2018-01,2778090.0
2018-02,2863288.0
2018-03,2425328.0
2018-04,2409779.0
2018-05,2233315.0
2018-06,2340491.0
2018-07,2500292.0
2018-08,3611850.0
2018-09,3321163.0
2018-10,2154710.0
2018-11,2322228.0
2018-12,2431289.0
2019-01,2801681.0
2019-02,2809066.0
2019-03,2430323.0
2019-04,2510293.0
2019-05,2309885.0
2019-06,2405488.0
2019-07,2534972.0
2019-08,3136482.0
2019-09,3337342.0
2019-10,2497543.0
2019-11,2378025.0
2019-12,2508578.0
2020-01,2776469.0
2020-02,2813222.0
2020-03,2595193.0
2020-04,2579957.0
2020-05,2407738.0
2020-06,2548129.0
2020-07,2775347.0
2020-08,2901473.0
2020-09,3003519.0
2020-10,2079887.0
2020-11,2464835.0
2020-12,2585608.0
2021-01,2984196.0
2021-02,3006265.0
2021-03,2524147.0
2021-04,2604509.0
2021-05,2403662.0
2021-06,2578689.0
2021-07,2816944.0
2021-08,3797480.0
2021-09,3339558.0
2021-10,2652756.0
2021-11,2589898.0
2021-12,2644034.0
2022-01,2988877.0
2022-02,3047957.0
2022-03,2661923.0
2022-04,2663192.0
2022-05,2425452.0
2022-06,2588422.0
2022-07,2993506.0
2022-08,3696355.0
2022-09,3517581.0
2022-10,2738743.0
2022-11,2549976.0
2022-12,2634668.0
