YYYY-MM,CTY_GAS_USQNT
2015-01,13109493.0
2015-02,12737995.0
2015-03,10765809.0
2015-04,8651583.0
2015-05,5720323.0
2015-06,3615927.0
2015-07,2762715.0
2015-08,2288624.0
2015-09,2096511.0
2015-10,2727971.0
2015-11,4590758.0
2015-12,7695980.0
2016-01,10609511.0
2016-02,12557791.0
2016-03,10924229.0
2016-04,7909219.0
2016-05,4972805.0
2016-06,3224292.0
2016-07,2651401.0
2016-08,2397728.0
2016-09,2200224.0
2016-10,2711583.0
2016-11,5070035.0
2016-12,8477154.0
2017-01,10853476.0
2017-02,12654427.0
2017-03,9874642.0
2017-04,7785691.0
2017-05,4428136.0
2017-06,3079697.0
2017-07,2295493.0
2017-08,2293344.0
2017-09,2497045.0
2017-10,2545135.0
2017-11,4607068.0
2017-12,9163529.0
2018-01,12130878.0
2018-02,13189128.0
2018-03,10840743.0
2018-04,7452128.0
2018-05,4810057.0
2018-06,3245341.0
2018-07,2533301.0
2018-08,2019038.0
2018-09,2042647.0
2018-10,2755312.0
2018-11,5312039.0
2018-12,8202048.0
2019-01,11943541.0
2019-02,11721921.0
2019-03,9198460.0
2019-04,8076005.0
2019-05,5439220.0
2019-06,3511891.0
2019-07,2785163.0
2019-08,2369185.0
2019-09,1969470.0
2019-10,2557316.0
2019-11,4440398.0
2019-12,2369771.0
2020-01,11046899.0
2020-02,11442083.0
2020-03,9588725.0
2020-04,7533087.0
2020-05,5523227.0
2020-06,3423758.0
2020-07,2642419.0
2020-08,2511256.0
2020-09,883065.0
2020-10,738815.0
2020-11,5428480.0
2020-12,8397636.0
2021-01,12777660.0
2021-02,11897244.0
2021-03,9521395.0
2021-04,6880946.0
2021-05,4601489.0
2021-06,3222861.0
2021-07,2360426.0
2021-08,1941850.0
2021-09,1953818.0
2021-10,2189151.0
2021-11,4822956.0
2021-12,8073936.0
2022-01,11650343.0
2022-02,12540597.0
2022-03,10200546.0
2022-04,7617965.0
2022-05,4141021.0
2022-06,2891799.0
2022-07,2184675.0
2022-08,1922077.0
2022-09,1896653.0
2022-10,2313822.0
2022-11,4707408.0
2022-12,7263238.0
