YYYY-MM,ELRW_USQNT
2015-01,5661058.0
2015-02,5479176.0
2015-03,4602714.0
2015-04,4561640.0
2015-05,4129311.0
2015-06,4381698.0
2015-07,4565976.0
2015-08,5391321.0
2015-09,4610537.0
2015-10,4008800.0
2015-11,4290489.0
2015-12,4758186.0
2016-01,5323918.0
2016-02,5455770.0
2016-03,4672966.0
2016-04,4376664.0
2016-05,4023898.0
2016-06,4414341.0
2016-07,5095102.0
2016-08,6290925.0
2016-09,5166813.0
2016-10,4374720.0
2016-11,4751052.0
2016-12,5248310.0
2017-01,5776310.0
2017-02,5851357.0
2017-03,3512659.0
2017-04,3501163.0
2017-05,3162960.0
2017-06,3251142.0
2017-07,3752216.0
2017-08,4061337.0
2017-09,3415528.0
2017-10,3207150.0
2017-11,3422418.0
2017-12,3857878.0
2018-01,4275203.0
2018-02,4698478.0
2018-03,3841582.0
2018-04,3753939.0
2018-05,3468013.0
2018-06,3636607.0
2018-07,4131658.0
2018-08,5514889.0
2018-09,4115537.0
2018-10,3447746.0
2018-11,3360586.0
2018-12,4017648.0
2019-01,4543352.0
2019-02,4456152.0
2019-03,3786926.0
2019-04,3836385.0
2019-05,4285225.0
2019-06,4535769.0
2019-07,4818412.0
2019-08,6114954.0
2019-09,5350068.0
2019-10,4421584.0
2019-11,4550346.0
2019-12,5052892.0
2020-01,5640916.0
2020-02,5475877.0
2020-03,4802051.0
2020-04,4582191.0
2020-05,4294852.0
2020-06,4714546.0
2020-07,4779424.0
2020-08,5498553.0
2020-09,2874717.0
2020-10,2171345.0
2020-11,4477689.0
2020-12,5082128.0
2021-01,5744299.0
2021-02,5439490.0
2021-03,4465136.0
2021-04,4442400.0
2021-05,4105555.0
2021-06,4644683.0
2021-07,5308346.0
2021-08,6270777.0
2021-09,5089020.0
2021-10,4483586.0
2021-11,4616405.0
2021-12,5045160.0
2022-01,5755621.0
2022-02,5687728.0
2022-03,4776992.0
2022-04,4599927.0
2022-05,4166086.0
2022-06,4532360.0
2022-07,5486718.0
2022-08,6145157.0
2022-09,5203915.0
2022-10,4373180.0
2022-11,4435738.0
2022-12,5137938.0
