YYYY-MM,CTY_GAS_USQNT
2015-01,655255.0
2015-02,580418.0
2015-03,467765.0
2015-04,365420.0
2015-05,226851.0
2015-06,149359.0
2015-07,113514.0
2015-08,92285.0
2015-09,83020.0
2015-10,163002.0
2015-11,241307.0
2015-12,406848.0
2016-01,563654.0
2016-02,634882.0
2016-03,479140.0
2016-04,311207.0
2016-05,209124.0
2016-06,136932.0
2016-07,135001.0
2016-08,113663.0
2016-09,114511.0
2016-10,152749.0
2016-11,315848.0
2016-12,523517.0
2017-01,614852.0
2017-02,672924.0
2017-03,474333.0
2017-04,383770.0
2017-05,222008.0
2017-06,162495.0
2017-07,129439.0
2017-08,116904.0
2017-09,112626.0
2017-10,157512.0
2017-11,299944.0
2017-12,531135.0
2018-01,739132.0
2018-02,693286.0
2018-03,512529.0
2018-04,351601.0
2018-05,232711.0
2018-06,157636.0
2018-07,131327.0
2018-08,100330.0
2018-09,94056.0
2018-10,164689.0
2018-11,322976.0
2018-12,520432.0
2019-01,641704.0
2019-02,595865.0
2019-03,435287.0
2019-04,369855.0
2019-05,216390.0
2019-06,150213.0
2019-07,121773.0
2019-08,121325.0
2019-09,105075.0
2019-10,154387.0
2019-11,291893.0
2019-12,24877.0
2020-01,618519.0
2020-02,560301.0
2020-03,453272.0
2020-04,342438.0
2020-05,239007.0
2020-06,149750.0
2020-07,123150.0
2020-08,122556.0
2020-09,40613.0
2020-10,45781.0
2020-11,310134.0
2020-12,480265.0
2021-01,696650.0
2021-02,571487.0
2021-03,417413.0
2021-04,311703.0
2021-05,211041.0
2021-06,145322.0
2021-07,114378.0
2021-08,94792.0
2021-09,99364.0
2021-10,126342.0
2021-11,324672.0
2021-12,464694.0
2022-01,644918.0
2022-02,606037.0
2022-03,436421.0
2022-04,357821.0
2022-05,206303.0
2022-06,144171.0
2022-07,100246.0
2022-08,100886.0
2022-09,104031.0
2022-10,154398.0
2022-11,289736.0
2022-12,485012.0
