YYYY-MM,ELRW_USQNT
2015-01,736089.0
2015-02,718886.0
2015-03,585935.0
2015-04,579849.0
2015-05,496954.0
2015-06,494785.0
2015-07,513253.0
2015-08,624199.0
2015-09,570324.0
2015-10,489334.0
2015-11,540830.0
2015-12,610120.0
2016-01,675414.0
2016-02,704846.0
2016-03,620341.0
2016-04,563622.0
2016-05,495714.0
2016-06,528069.0
2016-07,573047.0
2016-08,661587.0
2016-09,629332.0
2016-10,508026.0
2016-11,553256.0
2016-12,635777.0
2017-01,695713.0
2017-02,729809.0
2017-03,404652.0
2017-04,380297.0
2017-05,301453.0
2017-06,312727.0
2017-07,353148.0
2017-08,405082.0
2017-09,351481.0
2017-10,308035.0
2017-11,365723.0
2017-12,458858.0
2018-01,509527.0
2018-02,547592.0
2018-03,412423.0
2018-04,393330.0
2018-05,333611.0
2018-06,346268.0
2018-07,363105.0
2018-08,515167.0
2018-09,419810.0
2018-10,312566.0
2018-11,369980.0
2018-12,436038.0
2019-01,517851.0
2019-02,492891.0
2019-03,411033.0
2019-04,400337.0
2019-05,333179.0
2019-06,336799.0
2019-07,349194.0
2019-08,453703.0
2019-09,399890.0
2019-10,334222.0
2019-11,353355.0
2019-12,438888.0
2020-01,459373.0
2020-02,443606.0
2020-03,392779.0
2020-04,355559.0
2020-05,316224.0
2020-06,324961.0
2020-07,347239.0
2020-08,376202.0
2020-09,294100.0
2020-10,206316.0
2020-11,338654.0
2020-12,387231.0
2021-01,477996.0
2021-02,459632.0
2021-03,366839.0
2021-04,344138.0
2021-05,299617.0
2021-06,414912.0
2021-07,463096.0
2021-08,555566.0
2021-09,457633.0
2021-10,422620.0
2021-11,466266.0
2021-12,581500.0
2022-01,678843.0
2022-02,653067.0
2022-03,569218.0
2022-04,512077.0
2022-05,452273.0
2022-06,493109.0
2022-07,608112.0
2022-08,615599.0
2022-09,531490.0
2022-10,484656.0
2022-11,498089.0
2022-12,586491.0
