YYYY-MM,ELRW_USQNT
2015-01,7582683.0
2015-02,6784707.0
2015-03,7259844.0
2015-04,7671393.0
2015-05,9966049.0
2015-06,9718765.0
2015-07,9154753.0
2015-08,9678420.0
2015-09,9504939.0
2015-10,9909950.0
2015-11,10309076.0
2015-12,8860593.0
2016-01,8903402.0
2016-02,8196257.0
2016-03,8941555.0
2016-04,9881075.0
2016-05,10342078.0
2016-06,10080130.0
2016-07,10284552.0
2016-08,8185336.0
2016-09,9873778.0
2016-10,10373060.0
2016-11,10898926.0
2016-12,9273869.0
2017-01,9059245.0
2017-02,8623288.0
2017-03,9008907.0
2017-04,9940007.0
2017-05,10368423.0
2017-06,10249831.0
2017-07,9470561.0
2017-08,10425207.0
2017-09,10126967.0
2017-10,9940392.0
2017-11,10909209.0
2017-12,9373707.0
2018-01,9538248.0
2018-02,8617907.0
2018-03,10306431.0
2018-04,10323330.0
2018-05,9285403.0
2018-06,9174442.0
2018-07,10553147.0
2018-08,8924181.0
2018-09,8803777.0
2018-10,10435671.0
2018-11,9464246.0
2018-12,9770614.0
2019-01,9904218.0
2019-02,8623965.0
2019-03,9422955.0
2019-04,9512577.0
2019-05,9779149.0
2019-06,10225076.0
2019-07,10546435.0
2019-08,8305642.0
2019-09,10337229.0
2019-10,11824438.0
2019-11,12794603.0
2019-12,12664416.0
2020-01,11960651.0
2020-02,11698612.0
2020-03,12269069.0
2020-04,11571200.0
2020-05,12700821.0
2020-06,12531944.0
2020-07,13507590.0
2020-08,11533252.0
2020-09,11390137.0
2020-10,11204832.0
2020-11,12359502.0
2020-12,12803018.0
2021-01,12046056.0
2021-02,10703334.0
2021-03,13002568.0
2021-04,12730250.0
2021-05,12685762.0
2021-06,12405373.0
2021-07,12442627.0
2021-08,12681821.0
2021-09,11610112.0
2021-10,12223071.0
2021-11,12688586.0
2021-12,11859553.0
2022-01,11608438.0
2022-02,10431748.0
2022-03,12551434.0
2022-04,12507622.0
2022-05,12542805.0
2022-06,12410470.0
2022-07,12856967.0
2022-08,4941669.0
2022-09,4364371.0
2022-10,4849125.0
2022-11,5440828.0
2022-12,4335138.0
