YYYY-MM,CTY_GAS_USQNT
2015-01,2235775.0
2015-02,2113285.0
2015-03,1791515.0
2015-04,1613842.0
2015-05,1295446.0
2015-06,836445.0
2015-07,734532.0
2015-08,805864.0
2015-09,729237.0
2015-10,675086.0
2015-11,906228.0
2015-12,1267231.0
2016-01,2170143.0
2016-02,2404489.0
2016-03,2055824.0
2016-04,1752148.0
2016-05,1106066.0
2016-06,859766.0
2016-07,793620.0
2016-08,893367.0
2016-09,880203.0
2016-10,675044.0
2016-11,959689.0
2016-12,1656329.0
2017-01,2166425.0
2017-02,2419542.0
2017-03,2778916.0
2017-04,2369314.0
2017-05,1403579.0
2017-06,1004207.0
2017-07,913680.0
2017-08,1038023.0
2017-09,1021533.0
2017-10,807364.0
2017-11,1266729.0
2017-12,2441527.0
2018-01,3322161.0
2018-02,3884165.0
2018-03,3107677.0
2018-04,2283646.0
2018-05,1529893.0
2018-06,1052373.0
2018-07,927252.0
2018-08,1043431.0
2018-09,1018048.0
2018-10,877877.0
2018-11,1458562.0
2018-12,2282572.0
2019-01,3379565.0
2019-02,3345747.0
2019-03,2859896.0
2019-04,2387875.0
2019-05,1696882.0
2019-06,1101266.0
2019-07,942431.0
2019-08,1016100.0
2019-09,983095.0
2019-10,933045.0
2019-11,1261615.0
2019-12,448653.0
2020-01,3069261.0
2020-02,3090928.0
2020-03,2740433.0
2020-04,2194574.0
2020-05,1758957.0
2020-06,1139367.0
2020-07,1016887.0
2020-08,984693.0
2020-09,835179.0
2020-10,622628.0
2020-11,1466525.0
2020-12,2215524.0
2021-01,3403190.0
2021-02,3754932.0
2021-03,2750260.0
2021-04,2293502.0
2021-05,1530174.0
2021-06,1180553.0
2021-07,1043752.0
2021-08,1190416.0
2021-09,1142892.0
2021-10,939007.0
2021-11,1447177.0
2021-12,2412671.0
2022-01,3518521.0
2022-02,3886511.0
2022-03,3333603.0
2022-04,2530149.0
2022-05,1479893.0
2022-06,1117093.0
2022-07,1507703.0
2022-08,1651508.0
2022-09,1592251.0
2022-10,1392279.0
2022-11,2117046.0
2022-12,3381938.0
