YYYY-MM,ELRW_USQNT
2015-01,897147.0
2015-02,812426.0
2015-03,790826.0
2015-04,747412.0
2015-05,691429.0
2015-06,733325.0
2015-07,797985.0
2015-08,833491.0
2015-09,755128.0
2015-10,714982.0
2015-11,723085.0
2015-12,843769.0
2016-01,911509.0
2016-02,876639.0
2016-03,843601.0
2016-04,758777.0
2016-05,736301.0
2016-06,765736.0
2016-07,835811.0
2016-08,911377.0
2016-09,810236.0
2016-10,744025.0
2016-11,775110.0
2016-12,869000.0
2017-01,918398.0
2017-02,877850.0
2017-03,791712.0
2017-04,711847.0
2017-05,684795.0
2017-06,727217.0
2017-07,840313.0
2017-08,191863.0
2017-09,164140.0
2017-10,723765.0
2017-11,817989.0
2017-12,926256.0
2018-01,1000419.0
2018-02,901585.0
2018-03,863296.0
2018-04,832253.0
2018-05,865644.0
2018-06,886959.0
2018-07,967322.0
2018-08,1113126.0
2018-09,891781.0
2018-10,838624.0
2018-11,884341.0
2018-12,997034.0
2019-01,1080110.0
2019-02,936103.0
2019-03,895917.0
2019-04,858594.0
2019-05,824337.0
2019-06,835432.0
2019-07,950300.0
2019-08,1017679.0
2019-09,901368.0
2019-10,852070.0
2019-11,886867.0
2019-12,1010705.0
2020-01,1029291.0
2020-02,970719.0
2020-03,940934.0
2020-04,869285.0
2020-05,848809.0
2020-06,927517.0
2020-07,986305.0
2020-08,1052253.0
2020-09,829442.0
2020-10,771012.0
2020-11,924352.0
2020-12,1070786.0
2021-01,1162175.0
2021-02,1013668.0
2021-03,964641.0
2021-04,886596.0
2021-05,873044.0
2021-06,941719.0
2021-07,1050081.0
2021-08,1109276.0
2021-09,947058.0
2021-10,909286.0
2021-11,932210.0
2021-12,1073396.0
2022-01,1151734.0
2022-02,1054100.0
2022-03,1000460.0
2022-04,925408.0
2022-05,925079.0
2022-06,990334.0
2022-07,1148572.0
2022-08,1192938.0
2022-09,1025645.0
2022-10,947676.0
2022-11,953812.0
2022-12,1057513.0
