YYYY-MM,CTY_GAS_USQNT
2015-01,2007653.0
2015-02,1803720.0
2015-03,1441781.0
2015-04,1063430.0
2015-05,676540.0
2015-06,481067.0
2015-07,364700.0
2015-08,288205.0
2015-09,303134.0
2015-10,418985.0
2015-11,704471.0
2015-12,1227373.0
2016-01,1710155.0
2016-02,1961829.0
2016-03,1462044.0
2016-04,929750.0
2016-05,562142.0
2016-06,384147.0
2016-07,337539.0
2016-08,262750.0
2016-09,281891.0
2016-10,386283.0
2016-11,814361.0
2016-12,1385636.0
2017-01,1657549.0
2017-02,1896476.0
2017-03,1298499.0
2017-04,938735.0
2017-05,532691.0
2017-06,397623.0
2017-07,323648.0
2017-08,299882.0
2017-09,325135.0
2017-10,414661.0
2017-11,815572.0
2017-12,1516629.0
2018-01,1902373.0
2018-02,2018363.0
2018-03,1364955.0
2018-04,958613.0
2018-05,585825.0
2018-06,418612.0
2018-07,339516.0
2018-08,262804.0
2018-09,291861.0
2018-10,488180.0
2018-11,891802.0
2018-12,1431747.0
2019-01,1803146.0
2019-02,1757741.0
2019-03,1174437.0
2019-04,1073445.0
2019-05,584828.0
2019-06,389960.0
2019-07,360059.0
2019-08,299479.0
2019-09,291597.0
2019-10,423646.0
2019-11,732227.0
2019-12,1198310.0
2020-01,1588779.0
2020-02,1496976.0
2020-03,1160226.0
2020-04,836634.0
2020-05,553801.0
2020-06,295374.0
2020-07,264757.0
2020-08,220002.0
2020-09,38346.0
2020-10,40590.0
2020-11,472474.0
2020-12,743859.0
2021-01,1140685.0
2021-02,971034.0
2021-03,701282.0
2021-04,512291.0
2021-05,345019.0
2021-06,272915.0
2021-07,216872.0
2021-08,181784.0
2021-09,170858.0
2021-10,200228.0
2021-11,456068.0
2021-12,699633.0
2022-01,1048316.0
2022-02,1012262.0
2022-03,760589.0
2022-04,576683.0
2022-05,316370.0
2022-06,236373.0
2022-07,198714.0
2022-08,175601.0
2022-09,178313.0
2022-10,235935.0
2022-11,399653.0
2022-12,685070.0
