YYYY-MM,ELRW_USQNT
2015-01,273021.0
2015-02,247008.0
2015-03,227981.0
2015-04,209565.0
2015-05,184513.0
2015-06,162717.0
2015-07,158214.0
2015-08,166537.0
2015-09,154076.0
2015-10,155993.0
2015-11,174955.0
2015-12,203121.0
2016-01,215212.0
2016-02,211406.0
2016-03,190131.0
2016-04,162697.0
2016-05,138171.0
2016-06,129123.0
2016-07,149623.0
2016-08,150533.0
2016-09,143368.0
2016-10,137484.0
2016-11,159942.0
2016-12,183002.0
2017-01,197008.0
2017-02,181606.0
2017-03,137962.0
2017-04,112033.0
2017-05,95725.0
2017-06,89120.0
2017-07,112941.0
2017-08,112068.0
2017-09,99445.0
2017-10,103617.0
2017-11,130797.0
2017-12,154532.0
2018-01,165677.0
2018-02,147924.0
2018-03,131775.0
2018-04,109336.0
2018-05,98226.0
2018-06,89503.0
2018-07,109692.0
2018-08,115707.0
2018-09,92859.0
2018-10,100441.0
2018-11,123273.0
2018-12,154355.0
2019-01,177531.0
2019-02,151684.0
2019-03,142352.0
2019-04,128995.0
2019-05,100182.0
2019-06,84401.0
2019-07,112684.0
2019-08,123000.0
2019-09,119337.0
2019-10,124179.0
2019-11,141442.0
2019-12,172172.0
2020-01,178582.0
2020-02,159022.0
2020-03,147775.0
2020-04,135891.0
2020-05,130412.0
2020-06,144592.0
2020-07,151652.0
2020-08,183057.0
2020-09,167580.0
2020-10,161161.0
2020-11,178812.0
2020-12,211268.0
2021-01,230649.0
2021-02,177768.0
2021-03,158256.0
2021-04,123335.0
2021-05,140886.0
2021-06,157503.0
2021-07,176281.0
2021-08,190438.0
2021-09,165990.0
2021-10,171599.0
2021-11,202349.0
2021-12,268139.0
2022-01,299233.0
2022-02,254796.0
2022-03,225953.0
2022-04,193064.0
2022-05,155186.0
2022-06,165337.0
2022-07,199158.0
2022-08,217259.0
2022-09,183045.0
2022-10,191696.0
2022-11,211082.0
2022-12,294139.0
