YYYY-MM,CTY_GAS_USQNT
2015-01,3465910.0
2015-02,3295471.0
2015-03,2845212.0
2015-04,2435587.0
2015-05,1580728.0
2015-06,966322.0
2015-07,843457.0
2015-08,655041.0
2015-09,454463.0
2015-10,683939.0
2015-11,1193703.0
2015-12,1829903.0
2016-01,2569340.0
2016-02,3342848.0
2016-03,2905757.0
2016-04,2453352.0
2016-05,1518808.0
2016-06,1009610.0
2016-07,889497.0
2016-08,826762.0
2016-09,842533.0
2016-10,780844.0
2016-11,1250887.0
2016-12,2191702.0
2017-01,2981248.0
2017-02,3616394.0
2017-03,635453.0
2017-04,549738.0
2017-05,313778.0
2017-06,228098.0
2017-07,219713.0
2017-08,240276.0
2017-09,214010.0
2017-10,164708.0
2017-11,247569.0
2017-12,539700.0
2018-01,792451.0
2018-02,960947.0
2018-03,826192.0
2018-04,580522.0
2018-05,338482.0
2018-06,237923.0
2018-07,241204.0
2018-08,289231.0
2018-09,313440.0
2018-10,202694.0
2018-11,326778.0
2018-12,492776.0
2019-01,854989.0
2019-02,811132.0
2019-03,752939.0
2019-04,556279.0
2019-05,385725.0
2019-06,253639.0
2019-07,244173.0
2019-08,295988.0
2019-09,267319.0
2019-10,223575.0
2019-11,245903.0
2019-12,405110.0
2020-01,451666.0
2020-02,718991.0
2020-03,676601.0
2020-04,519334.0
2020-05,380124.0
2020-06,231781.0
2020-07,276525.0
2020-08,257162.0
2020-09,214299.0
2020-10,197409.0
2020-11,261532.0
2020-12,421928.0
2021-01,714322.0
2021-02,856729.0
2021-03,668498.0
2021-04,487927.0
2021-05,302642.0
2021-06,252073.0
2021-07,249175.0
2021-08,293768.0
2021-09,293182.0
2021-10,198985.0
2021-11,284393.0
2021-12,470578.0
2022-01,738452.0
2022-02,800669.0
2022-03,741273.0
2022-04,555531.0
2022-05,310400.0
2022-06,232075.0
2022-07,257562.0
2022-08,298096.0
2022-09,275361.0
2022-10,190576.0
2022-11,247894.0
2022-12,393742.0
