YYYY-MM,ELRW_USQNT
2015-01,1820743.0
2015-02,1745551.0
2015-03,1466742.0
2015-04,1407811.0
2015-05,1229438.0
2015-06,1245564.0
2015-07,1347080.0
2015-08,1728688.0
2015-09,1518788.0
2015-10,1238244.0
2015-11,1316517.0
2015-12,1626304.0
2016-01,1884381.0
2016-02,1766470.0
2016-03,1543783.0
2016-04,1388245.0
2016-05,1189705.0
2016-06,1241153.0
2016-07,1273969.0
2016-08,1585034.0
2016-09,1402050.0
2016-10,1107391.0
2016-11,1224584.0
2016-12,1457415.0
2017-01,1595983.0
2017-02,1633894.0
2017-03,1107011.0
2017-04,985860.0
2017-05,827327.0
2017-06,876644.0
2017-07,972805.0
2017-08,1077881.0
2017-09,933748.0
2017-10,806581.0
2017-11,949911.0
2017-12,1171764.0
2018-01,1291204.0
2018-02,1356716.0
2018-03,1031136.0
2018-04,918604.0
2018-05,817378.0
2018-06,860929.0
2018-07,945414.0
2018-08,1264199.0
2018-09,1004887.0
2018-10,799022.0
2018-11,928554.0
2018-12,1105129.0
2019-01,1313588.0
2019-02,1201394.0
2019-03,1064454.0
2019-04,1013169.0
2019-05,844841.0
2019-06,800989.0
2019-07,863381.0
2019-08,1083228.0
2019-09,940369.0
2019-10,778030.0
2019-11,906856.0
2019-12,1150087.0
2020-01,1018006.0
2020-02,1074226.0
2020-03,952664.0
2020-04,847149.0
2020-05,744155.0
2020-06,794631.0
2020-07,852257.0
2020-08,907004.0
2020-09,857152.0
2020-10,634821.0
2020-11,834490.0
2020-12,1020957.0
2021-01,1268442.0
2021-02,1171426.0
2021-03,933219.0
2021-04,818285.0
2021-05,709838.0
2021-06,761119.0
2021-07,870781.0
2021-08,1043172.0
2021-09,834514.0
2021-10,741889.0
2021-11,813739.0
2021-12,1018286.0
2022-01,1190016.0
2022-02,1158933.0
2022-03,971498.0
2022-04,812170.0
2022-05,694410.0
2022-06,735507.0
2022-07,919099.0
2022-08,816732.0
2022-09,678329.0
2022-10,571133.0
2022-11,609544.0
2022-12,766136.0
