YYYY-MM,CTY_GAS_USQNT
2015-01,3633740.0
2015-02,3447800.0
2015-03,3070337.0
2015-04,2354970.0
2015-05,1687495.0
2015-06,1111840.0
2015-07,1076466.0
2015-08,1191447.0
2015-09,1126302.0
2015-10,1138551.0
2015-11,1286694.0
2015-12,2112677.0
2016-01,3182708.0
2016-02,3651694.0
2016-03,3092239.0
2016-04,2547365.0
2016-05,1404580.0
2016-06,1132343.0
2016-07,1176189.0
2016-08,1190733.0
2016-09,1229095.0
2016-10,979223.0
2016-11,1441379.0
2016-12,2533698.0
2017-01,3171808.0
2017-02,3572901.0
2017-03,2626780.0
2017-04,2068434.0
2017-05,1273074.0
2017-06,919729.0
2017-07,899166.0
2017-08,968007.0
2017-09,995243.0
2017-10,878327.0
2017-11,1177087.0
2017-12,2370394.0
2018-01,3196616.0
2018-02,3514842.0
2018-03,3105208.0
2018-04,2119264.0
2018-05,1449390.0
2018-06,1083812.0
2018-07,943065.0
2018-08,955754.0
2018-09,956891.0
2018-10,912899.0
2018-11,1361639.0
2018-12,2111285.0
2019-01,3001614.0
2019-02,3018768.0
2019-03,2427024.0
2019-04,2010923.0
2019-05,1664100.0
2019-06,1213963.0
2019-07,1025919.0
2019-08,1063245.0
2019-09,1096112.0
2019-10,1057632.0
2019-11,1276828.0
2019-12,1365834.0
2020-01,2960105.0
2020-02,2867635.0
2020-03,2418935.0
2020-04,1777728.0
2020-05,1368235.0
2020-06,1009612.0
2020-07,1027212.0
2020-08,956545.0
2020-09,857496.0
2020-10,695582.0
2020-11,1398780.0
2020-12,2204370.0
2021-01,3114725.0
2021-02,3281352.0
2021-03,2437052.0
2021-04,1906440.0
2021-05,1332514.0
2021-06,1038764.0
2021-07,963174.0
2021-08,838841.0
2021-09,724715.0
2021-10,809275.0
2021-11,1452055.0
2021-12,2246184.0
2022-01,3058683.0
2022-02,3378352.0
2022-03,2864799.0
2022-04,2122274.0
2022-05,1302034.0
2022-06,1001556.0
2022-07,969202.0
2022-08,976570.0
2022-09,1050143.0
2022-10,994671.0
2022-11,1420338.0
2022-12,2175455.0
