YYYY-MM,ELRW_USQNT
2015-01,1651741.0
2015-02,1461728.0
2015-03,1347328.0
2015-04,1172665.0
2015-05,1043871.0
2015-06,1143047.0
2015-07,1248595.0
2015-08,1329793.0
2015-09,1142417.0
2015-10,1099376.0
2015-11,1244472.0
2015-12,1585508.0
2016-01,1708506.0
2016-02,1614264.0
2016-03,1443519.0
2016-04,1177068.0
2016-05,1093107.0
2016-06,1150294.0
2016-07,971321.0
2016-08,1109439.0
2016-09,899185.0
2016-10,786196.0
2016-11,975407.0
2016-12,1231574.0
2017-01,1321003.0
2017-02,1263102.0
2017-03,1299726.0
2017-04,1085352.0
2017-05,956007.0
2017-06,1041033.0
2017-07,1245801.0
2017-08,788296.0
2017-09,650694.0
2017-10,982179.0
2017-11,1268411.0
2017-12,1529503.0
2018-01,1662444.0
2018-02,1497111.0
2018-03,1267485.0
2018-04,1095691.0
2018-05,1001342.0
2018-06,1043231.0
2018-07,1235940.0
2018-08,1432109.0
2018-09,1042506.0
2018-10,1003845.0
2018-11,1175524.0
2018-12,1418598.0
2019-01,1575417.0
2019-02,1327464.0
2019-03,1200808.0
2019-04,1103909.0
2019-05,988014.0
2019-06,1025335.0
2019-07,1175929.0
2019-08,1314632.0
2019-09,1098814.0
2019-10,1002655.0
2019-11,1100510.0
2019-12,1325797.0
2020-01,1386051.0
2020-02,1330318.0
2020-03,1208134.0
2020-04,1042276.0
2020-05,905316.0
2020-06,1031397.0
2020-07,1093846.0
2020-08,1159859.0
2020-09,680339.0
2020-10,609103.0
2020-11,1138394.0
2020-12,1449207.0
2021-01,1598026.0
2021-02,1413794.0
2021-03,1202005.0
2021-04,1020622.0
2021-05,921005.0
2021-06,1009891.0
2021-07,1160728.0
2021-08,1267282.0
2021-09,972918.0
2021-10,912234.0
2021-11,1100588.0
2021-12,1368526.0
2022-01,1488141.0
2022-02,1367062.0
2022-03,1166540.0
2022-04,951728.0
2022-05,873486.0
2022-06,931598.0
2022-07,1130904.0
2022-08,1216163.0
2022-09,973777.0
2022-10,884722.0
2022-11,1011980.0
2022-12,1400761.0
