YYYY-MM,CTY_GAS_USQNT
2015-01,6592864.0
2015-02,5690852.0
2015-03,5069961.0
2015-04,4088269.0
2015-05,2439527.0
2015-06,2124097.0
2015-07,1611190.0
2015-08,1386551.0
2015-09,1459205.0
2015-10,1639578.0
2015-11,2154695.0
2015-12,3922596.0
2016-01,5262921.0
2016-02,6162067.0
2016-03,5122175.0
2016-04,3968305.0
2016-05,2168032.0
2016-06,1631049.0
2016-07,1758652.0
2016-08,1632333.0
2016-09,1692071.0
2016-10,1773116.0
2016-11,2664105.0
2016-12,5028742.0
2017-01,6008122.0
2017-02,6422366.0
2017-03,4976263.0
2017-04,4184743.0
2017-05,2327298.0
2017-06,1699680.0
2017-07,1690448.0
2017-08,1630546.0
2017-09,1590019.0
2017-10,1678411.0
2017-11,2283406.0
2017-12,5161012.0
2018-01,6893249.0
2018-02,6739040.0
2018-03,5371833.0
2018-04,3952120.0
2018-05,2395854.0
2018-06,1773750.0
2018-07,1735990.0
2018-08,1632735.0
2018-09,1734213.0
2018-10,1746587.0
2018-11,2628504.0
2018-12,4517061.0
2019-01,6180237.0
2019-02,5814014.0
2019-03,4386036.0
2019-04,4035188.0
2019-05,2564709.0
2019-06,1677638.0
2019-07,1510730.0
2019-08,1522473.0
2019-09,1617442.0
2019-10,1668913.0
2019-11,2109863.0
2019-12,2583627.0
2020-01,5377791.0
2020-02,5476763.0
2020-03,4417490.0
2020-04,3171755.0
2020-05,2296097.0
2020-06,1404618.0
2020-07,1252862.0
2020-08,1400029.0
2020-09,1116000.0
2020-10,877279.0
2020-11,2310083.0
2020-12,4036122.0
2021-01,6174408.0
2021-02,5396004.0
2021-03,4204805.0
2021-04,3207970.0
2021-05,1979424.0
2021-06,1391560.0
2021-07,1418714.0
2021-08,1410510.0
2021-09,1287515.0
2021-10,1350055.0
2021-11,2245850.0
2021-12,4018990.0
2022-01,5679185.0
2022-02,5627716.0
2022-03,4766030.0
2022-04,3610383.0
2022-05,1962440.0
2022-06,1623312.0
2022-07,1390167.0
2022-08,1291689.0
2022-09,1369459.0
2022-10,1313909.0
2022-11,2405396.0
2022-12,4221487.0
