YYYY-MM,ELRW_USQNT
2015-01,4833075.0
2015-02,4702213.0
2015-03,3878313.0
2015-04,3738067.0
2015-05,3264610.0
2015-06,3442001.0
2015-07,3578987.0
2015-08,4384738.0
2015-09,3890722.0
2015-10,3190175.0
2015-11,3443407.0
2015-12,3973746.0
2016-01,4324084.0
2016-02,4565880.0
2016-03,3914542.0
2016-04,3496072.0
2016-05,3062975.0
2016-06,3344827.0
2016-07,3654996.0
2016-08,4394468.0
2016-09,4031271.0
2016-10,3070525.0
2016-11,3307752.0
2016-12,3828858.0
2017-01,4205404.0
2017-02,4457708.0
2017-03,3507973.0
2017-04,2885993.0
2017-05,2431969.0
2017-06,2622512.0
2017-07,3560714.0
2017-08,3807258.0
2017-09,3200653.0
2017-10,2953696.0
2017-11,2926339.0
2017-12,3851081.0
2018-01,4353865.0
2018-02,4629315.0
2018-03,3624835.0
2018-04,3404877.0
2018-05,2945096.0
2018-06,3162615.0
2018-07,3397671.0
2018-08,4834144.0
2018-09,4003990.0
2018-10,2879401.0
2018-11,3070450.0
2018-12,3556387.0
2019-01,4240908.0
2019-02,4133842.0
2019-03,3424998.0
2019-04,3405253.0
2019-05,3019869.0
2019-06,3190935.0
2019-07,3332832.0
2019-08,4306315.0
2019-09,3966961.0
2019-10,3119630.0
2019-11,3043653.0
2019-12,3581581.0
2020-01,4006911.0
2020-02,4034425.0
2020-03,3517293.0
2020-04,3217294.0
2020-05,2882833.0
2020-06,3127225.0
2020-07,3355384.0
2020-08,3550035.0
2020-09,3002716.0
2020-10,2087812.0
2020-11,2979942.0
2020-12,3399674.0
2021-01,4117838.0
2021-02,3996882.0
2021-03,3275902.0
2021-04,3159950.0
2021-05,2806413.0
2021-06,3045022.0
2021-07,3462278.0
2021-08,4339667.0
2021-09,3481507.0
2021-10,2993033.0
2021-11,3066742.0
2021-12,3440722.0
2022-01,4068277.0
2022-02,4110556.0
2022-03,3565118.0
2022-04,3311269.0
2022-05,2844700.0
2022-06,3054067.0
2022-07,3835690.0
2022-08,4149645.0
2022-09,3614282.0
2022-10,3262723.0
2022-11,3213569.0
2022-12,3647874.0
