YYYY-MM,CTY_GAS_USQNT
2015-01,6370470.0
2015-02,6061076.0
2015-03,5305308.0
2015-04,4315725.0
2015-05,2876852.0
2015-06,2058325.0
2015-07,2031077.0
2015-08,2142929.0
2015-09,2307741.0
2015-10,1930967.0
2015-11,2013824.0
2015-12,3280000.0
2016-01,5015249.0
2016-02,5881006.0
2016-03,5401092.0
2016-04,4164008.0
2016-05,2391214.0
2016-06,1943573.0
2016-07,2052107.0
2016-08,2273603.0
2016-09,2640683.0
2016-10,1846243.0
2016-11,2259202.0
2016-12,3930626.0
2017-01,5413737.0
2017-02,6339773.0
2017-03,5625202.0
2017-04,4659709.0
2017-05,2574388.0
2017-06,2188371.0
2017-07,2179778.0
2017-08,2541196.0
2017-09,2830251.0
2017-10,1803967.0
2017-11,2330774.0
2017-12,4323906.0
2018-01,6833301.0
2018-02,7422864.0
2018-03,6110970.0
2018-04,4184325.0
2018-05,2666376.0
2018-06,2164395.0
2018-07,2107811.0
2018-08,2616102.0
2018-09,2436788.0
2018-10,2031538.0
2018-11,2622550.0
2018-12,3955455.0
2019-01,6566545.0
2019-02,6281658.0
2019-03,5154428.0
2019-04,4388780.0
2019-05,3204782.0
2019-06,2459798.0
2019-07,2281081.0
2019-08,2605677.0
2019-09,2550829.0
2019-10,2239699.0
2019-11,2566894.0
2019-12,2024688.0
2020-01,6234110.0
2020-02,6577178.0
2020-03,5385246.0
2020-04,4267539.0
2020-05,3137177.0
2020-06,2175486.0
2020-07,2462878.0
2020-08,2290692.0
2020-09,2193768.0
2020-10,1254087.0
2020-11,2835824.0
2020-12,4289587.0
2021-01,7006162.0
2021-02,7246757.0
2021-03,5377975.0
2021-04,4117647.0
2021-05,2760672.0
2021-06,2215013.0
2021-07,2342046.0
2021-08,2654727.0
2021-09,2537402.0
2021-10,2119171.0
2021-11,2812253.0
2021-12,4329331.0
2022-01,6396777.0
2022-02,7202522.0
2022-03,5900500.0
2022-04,4480555.0
2022-05,2552130.0
2022-06,2076583.0
2022-07,1994709.0
2022-08,2602341.0
2022-09,2647321.0
2022-10,2212858.0
2022-11,2732495.0
2022-12,3947664.0
