YYYY-MM,ELRW_USQNT
2015-01,283593.0
2015-02,278104.0
2015-03,217181.0
2015-04,183130.0
2015-05,145333.0
2015-06,147032.0
2015-07,144608.0
2015-08,183790.0
2015-09,161521.0
2015-10,181361.0
2015-11,247528.0
2015-12,335066.0
2016-01,393044.0
2016-02,444526.0
2016-03,351077.0
2016-04,268715.0
2016-05,213902.0
2016-06,209383.0
2016-07,274626.0
2016-08,376848.0
2016-09,371870.0
2016-10,362971.0
2016-11,487549.0
2016-12,619099.0
2017-01,662352.0
2017-02,719618.0
2017-03,445524.0
2017-04,365865.0
2017-05,281737.0
2017-06,278962.0
2017-07,299657.0
2017-08,357503.0
2017-09,309853.0
2017-10,358958.0
2017-11,515618.0
2017-12,667769.0
2018-01,726946.0
2018-02,702582.0
2018-03,535105.0
2018-04,466599.0
2018-05,388123.0
2018-06,373067.0
2018-07,419230.0
2018-08,491977.0
2018-09,403815.0
2018-10,371204.0
2018-11,494565.0
2018-12,621016.0
2019-01,724153.0
2019-02,658041.0
2019-03,634538.0
2019-04,634745.0
2019-05,537179.0
2019-06,517342.0
2019-07,589106.0
2019-08,676755.0
2019-09,585373.0
2019-10,589328.0
2019-11,664028.0
2019-12,846548.0
2020-01,918389.0
2020-02,843727.0
2020-03,727953.0
2020-04,686914.0
2020-05,599409.0
2020-06,656498.0
2020-07,686520.0
2020-08,698157.0
2020-09,717386.0
2020-10,602957.0
2020-11,751071.0
2020-12,951312.0
2021-01,1175725.0
2021-02,1049467.0
2021-03,812339.0
2021-04,745686.0
2021-05,623413.0
2021-06,677340.0
2021-07,763992.0
2021-08,819986.0
2021-09,795043.0
2021-10,656931.0
2021-11,827567.0
2021-12,980704.0
2022-01,1190142.0
2022-02,1164700.0
2022-03,895710.0
2022-04,773879.0
2022-05,668961.0
2022-06,702973.0
2022-07,833897.0
2022-08,1043686.0
2022-09,983821.0
2022-10,906568.0
2022-11,991211.0
2022-12,1163953.0
