YYYY-MM,CTY_GAS_USQNT
2015-01,4622652.0
2015-02,4478042.0
2015-03,3817894.0
2015-04,3085969.0
2015-05,2095131.0
2015-06,1165664.0
2015-07,704540.0
2015-08,603668.0
2015-09,524699.0
2015-10,702098.0
2015-11,1228724.0
2015-12,2359081.0
2016-01,3470235.0
2016-02,4194549.0
2016-03,3823612.0
2016-04,2802815.0
2016-05,1533278.0
2016-06,990500.0
2016-07,711807.0
2016-08,649248.0
2016-09,515121.0
2016-10,709779.0
2016-11,1430631.0
2016-12,2704003.0
2017-01,3731867.0
2017-02,4409253.0
2017-03,3086436.0
2017-04,2522470.0
2017-05,1392818.0
2017-06,883293.0
2017-07,654469.0
2017-08,498431.0
2017-09,500494.0
2017-10,583654.0
2017-11,1221187.0
2017-12,2556707.0
2018-01,3737993.0
2018-02,4101909.0
2018-03,3535742.0
2018-04,2412259.0
2018-05,1507697.0
2018-06,966823.0
2018-07,667771.0
2018-08,515397.0
2018-09,448749.0
2018-10,679858.0
2018-11,1473993.0
2018-12,2336219.0
2019-01,3672299.0
2019-02,3636475.0
2019-03,3075927.0
2019-04,2573331.0
2019-05,1642104.0
2019-06,991235.0
2019-07,712532.0
2019-08,599435.0
2019-09,474732.0
2019-10,651447.0
2019-11,1125344.0
2019-12,667880.0
2020-01,3401357.0
2020-02,3506680.0
2020-03,2966134.0
2020-04,2419889.0
2020-05,1797902.0
2020-06,1015150.0
2020-07,735975.0
2020-08,681745.0
2020-09,117663.0
2020-10,112527.0
2020-11,1478975.0
2020-12,2345889.0
2021-01,3920973.0
2021-02,3939767.0
2021-03,2958494.0
2021-04,2308079.0
2021-05,1456709.0
2021-06,1100310.0
2021-07,767501.0
2021-08,603070.0
2021-09,571193.0
2021-10,682381.0
2021-11,1356551.0
2021-12,2391855.0
2022-01,3669633.0
2022-02,3966610.0
2022-03,3492884.0
2022-04,2710423.0
2022-05,1483542.0
2022-06,983412.0
2022-07,728721.0
2022-08,552564.0
2022-09,523193.0
2022-10,677039.0
2022-11,1319171.0
2022-12,2136919.0
