YYYY-MM,ELRW_USQNT
2015-01,2225495.0
2015-02,2185015.0
2015-03,1876990.0
2015-04,1921047.0
2015-05,1767782.0
2015-06,1856974.0
2015-07,1871926.0
2015-08,2238611.0
2015-09,1914024.0
2015-10,1758403.0
2015-11,1892285.0
2015-12,2018262.0
2016-01,2171528.0
2016-02,2266212.0
2016-03,1971009.0
2016-04,1917507.0
2016-05,1785193.0
2016-06,1867054.0
2016-07,2031580.0
2016-08,2465329.0
2016-09,2064592.0
2016-10,1794028.0
2016-11,1912706.0
2016-12,2048312.0
2017-01,2182532.0
2017-02,2235888.0
2017-03,1651960.0
2017-04,1703105.0
2017-05,1571612.0
2017-06,1645835.0
2017-07,1851439.0
2017-08,1722228.0
2017-09,1453215.0
2017-10,1615756.0
2017-11,1738697.0
2017-12,1921707.0
2018-01,2107728.0
2018-02,2167138.0
2018-03,1775433.0
2018-04,1835424.0
2018-05,1724873.0
2018-06,1814433.0
2018-07,1977012.0
2018-08,2643308.0
2018-09,1984767.0
2018-10,1700410.0
2018-11,1674646.0
2018-12,1955830.0
2019-01,2142936.0
2019-02,2096749.0
2019-03,1834714.0
2019-04,1904969.0
2019-05,1770548.0
2019-06,1815407.0
2019-07,1858905.0
2019-08,2386751.0
2019-09,2111626.0
2019-10,1794165.0
2019-11,1865556.0
2019-12,1993520.0
2020-01,2144901.0
2020-02,2124733.0
2020-03,1903100.0
2020-04,1881987.0
2020-05,1772560.0
2020-06,1889614.0
2020-07,1898193.0
2020-08,2137353.0
2020-09,1378458.0
2020-10,1096326.0
2020-11,1883881.0
2020-12,1999206.0
2021-01,2233183.0
2021-02,2148904.0
2021-03,1811200.0
2021-04,1897075.0
2021-05,1779693.0
2021-06,1897480.0
2021-07,2021711.0
2021-08,2454488.0
2021-09,2056357.0
2021-10,1809472.0
2021-11,1895237.0
2021-12,1986773.0
2022-01,2216336.0
2022-02,2200335.0
2022-03,1866691.0
2022-04,1908840.0
2022-05,1770685.0
2022-06,1857912.0
2022-07,2229011.0
2022-08,2356287.0
2022-09,2043046.0
2022-10,1720407.0
2022-11,1779019.0
2022-12,1928359.0
