YYYY-MM,CTY_GAS_USQNT
2015-01,3626754.0
2015-02,3232962.0
2015-03,2797035.0
2015-04,2247285.0
2015-05,1443053.0
2015-06,783591.0
2015-07,632919.0
2015-08,602297.0
2015-09,536422.0
2015-10,605929.0
2015-11,856051.0
2015-12,1677771.0
2016-01,2821760.0
2016-02,3366563.0
2016-03,2898824.0
2016-04,2133002.0
2016-05,1087696.0
2016-06,730467.0
2016-07,601373.0
2016-08,585491.0
2016-09,582747.0
2016-10,590505.0
2016-11,982121.0
2016-12,2056587.0
2017-01,2922276.0
2017-02,3386205.0
2017-03,2935245.0
2017-04,2411775.0
2017-05,1229523.0
2017-06,811171.0
2017-07,665392.0
2017-08,583451.0
2017-09,574169.0
2017-10,554390.0
2017-11,1017202.0
2017-12,2309840.0
2018-01,3667087.0
2018-02,3985567.0
2018-03,3334231.0
2018-04,2212594.0
2018-05,1359807.0
2018-06,913431.0
2018-07,623971.0
2018-08,511091.0
2018-09,388776.0
2018-10,591041.0
2018-11,1199640.0
2018-12,1978151.0
2019-01,3380966.0
2019-02,3188502.0
2019-03,2880027.0
2019-04,2311123.0
2019-05,1468036.0
2019-06,857104.0
2019-07,667710.0
2019-08,535404.0
2019-09,420845.0
2019-10,538602.0
2019-11,913229.0
2019-12,193584.0
2020-01,3070262.0
2020-02,3109855.0
2020-03,2681676.0
2020-04,2998808.0
2020-05,2043836.0
2020-06,1150215.0
2020-07,847580.0
2020-08,854459.0
2020-09,185375.0
2020-10,180186.0
2020-11,1763471.0
2020-12,3052017.0
2021-01,5425940.0
2021-02,5280297.0
2021-03,3931959.0
2021-04,2757022.0
2021-05,1657801.0
2021-06,1215318.0
2021-07,857936.0
2021-08,700171.0
2021-09,632819.0
2021-10,809159.0
2021-11,1576759.0
2021-12,3150056.0
2022-01,4944519.0
2022-02,5370220.0
2022-03,4685767.0
2022-04,3269007.0
2022-05,1642971.0
2022-06,1078989.0
2022-07,847520.0
2022-08,716635.0
2022-09,670747.0
2022-10,803829.0
2022-11,1510164.0
2022-12,2768905.0
