YYYY-MM,ELRW_USQNT
2015-01,2536756.0
2015-02,2459807.0
2015-03,2113451.0
2015-04,2094665.0
2015-05,1864355.0
2015-06,1888365.0
2015-07,1948459.0
2015-08,2293737.0
2015-09,2100915.0
2015-10,1809889.0
2015-11,1879202.0
2015-12,2054935.0
2016-01,2246549.0
2016-02,2438195.0
2016-03,2101105.0
2016-04,1993553.0
2016-05,1764374.0
2016-06,1824505.0
2016-07,1841390.0
2016-08,2148094.0
2016-09,2041328.0
2016-10,1565130.0
2016-11,1624254.0
2016-12,1853743.0
2017-01,2079423.0
2017-02,2202301.0
2017-03,1597518.0
2017-04,1581960.0
2017-05,1385457.0
2017-06,1422861.0
2017-07,1583174.0
2017-08,1869439.0
2017-09,1584527.0
2017-10,1521617.0
2017-11,1460110.0
2017-12,1828467.0
2018-01,2119718.0
2018-02,2284116.0
2018-03,1884456.0
2018-04,1801274.0
2018-05,1527116.0
2018-06,1522617.0
2018-07,1563485.0
2018-08,2036658.0
2018-09,1798996.0
2018-10,1302191.0
2018-11,1360854.0
2018-12,1472420.0
2019-01,1752959.0
2019-02,1774034.0
2019-03,1485810.0
2019-04,1506995.0
2019-05,1442543.0
2019-06,1446928.0
2019-07,1486110.0
2019-08,1890249.0
2019-09,1887170.0
2019-10,1480459.0
2019-11,1457250.0
2019-12,1603166.0
2020-01,1824173.0
2020-02,1856456.0
2020-03,1682922.0
2020-04,1607417.0
2020-05,1469635.0
2020-06,1501806.0
2020-07,1621943.0
2020-08,1705893.0
2020-09,984216.0
2020-10,697147.0
2020-11,1456502.0
2020-12,1593432.0
2021-01,1940255.0
2021-02,1955824.0
2021-03,1608297.0
2021-04,1587248.0
2021-05,1424709.0
2021-06,1484951.0
2021-07,1604620.0
2021-08,2154027.0
2021-09,1757350.0
2021-10,1515972.0
2021-11,1557867.0
2021-12,1650086.0
2022-01,1938049.0
2022-02,1987763.0
2022-03,1732949.0
2022-04,1692856.0
2022-05,1491804.0
2022-06,1533131.0
2022-07,1848525.0
2022-08,2158651.0
2022-09,1953165.0
2022-10,1590316.0
2022-11,1535447.0
2022-12,1622261.0
