YYYY-MM,ELRW_USQNT
2015-01,356358.0
2015-02,337715.0
2015-03,268911.0
2015-04,248988.0
2015-05,194378.0
2015-06,201198.0
2015-07,213495.0
2015-08,256808.0
2015-09,210746.0
2015-10,187298.0
2015-11,235345.0
2015-12,317361.0
2016-01,332738.0
2016-02,361103.0
2016-03,276416.0
2016-04,219564.0
2016-05,190705.0
2016-06,206263.0
2016-07,255873.0
2016-08,328000.0
2016-09,275870.0
2016-10,234918.0
2016-11,293647.0
2016-12,376330.0
2017-01,415054.0
2017-02,437681.0
2017-03,316682.0
2017-04,272482.0
2017-05,222197.0
2017-06,219295.0
2017-07,264759.0
2017-08,298610.0
2017-09,209441.0
2017-10,207742.0
2017-11,256632.0
2017-12,362946.0
2018-01,410544.0
2018-02,416528.0
2018-03,309308.0
2018-04,267891.0
2018-05,231084.0
2018-06,241930.0
2018-07,280269.0
2018-08,385019.0
2018-09,284931.0
2018-10,221816.0
2018-11,286623.0
2018-12,366594.0
2019-01,440962.0
2019-02,410994.0
2019-03,314920.0
2019-04,306347.0
2019-05,237386.0
2019-06,240166.0
2019-07,265198.0
2019-08,353838.0
2019-09,287677.0
2019-10,245713.0
2019-11,266306.0
2019-12,337479.0
2020-01,376478.0
2020-02,385964.0
2020-03,322569.0
2020-04,278691.0
2020-05,249926.0
2020-06,266943.0
2020-07,266035.0
2020-08,309266.0
2020-09,311479.0
2020-10,204377.0
2020-11,242531.0
2020-12,290901.0
2021-01,367988.0
2021-02,340211.0
2021-03,265008.0
2021-04,253196.0
2021-05,231068.0
2021-06,258729.0
2021-07,283160.0
2021-08,324031.0
2021-09,270322.0
2021-10,237717.0
2021-11,273289.0
2021-12,312641.0
2022-01,397528.0
2022-02,380428.0
2022-03,316563.0
2022-04,298667.0
2022-05,248766.0
2022-06,267959.0
2022-07,340351.0
2022-08,349602.0
2022-09,280555.0
2022-10,242337.0
2022-11,268622.0
2022-12,326033.0
