YYYY-MM,CTY_GAS_USQNT
2015-01,3867688.0
2015-02,3708204.0
2015-03,3218608.0
2015-04,2527293.0
2015-05,1567548.0
2015-06,860415.0
2015-07,599617.0
2015-08,529587.0
2015-09,441700.0
2015-10,602949.0
2015-11,1041823.0
2015-12,1933512.0
2016-01,2988276.0
2016-02,3583053.0
2016-03,3084894.0
2016-04,2335708.0
2016-05,1271564.0
2016-06,780946.0
2016-07,584385.0
2016-08,546263.0
2016-09,478336.0
2016-10,573821.0
2016-11,1144488.0
2016-12,2251509.0
2017-01,3092244.0
2017-02,3576362.0
2017-03,3413168.0
2017-04,2776131.0
2017-05,1423649.0
2017-06,876749.0
2017-07,659713.0
2017-08,558184.0
2017-09,537849.0
2017-10,616863.0
2017-11,1238177.0
2017-12,2837457.0
2018-01,4123380.0
2018-02,4563650.0
2018-03,3905020.0
2018-04,2637140.0
2018-05,1597050.0
2018-06,971450.0
2018-07,698674.0
2018-08,621404.0
2018-09,490556.0
2018-10,675354.0
2018-11,1553324.0
2018-12,2605872.0
2019-01,4026378.0
2019-02,4019521.0
2019-03,3493289.0
2019-04,2748754.0
2019-05,1885420.0
2019-06,1015504.0
2019-07,783953.0
2019-08,685030.0
2019-09,536110.0
2019-10,727340.0
2019-11,1226248.0
2019-12,207608.0
2020-01,3795816.0
2020-02,3841868.0
2020-03,3215099.0
2020-04,2567327.0
2020-05,1867053.0
2020-06,1003731.0
2020-07,743729.0
2020-08,662765.0
2020-09,161052.0
2020-10,158471.0
2020-11,1532799.0
2020-12,2568362.0
2021-01,4298804.0
2021-02,4323110.0
2021-03,3253965.0
2021-04,2484004.0
2021-05,1534220.0
2021-06,1011900.0
2021-07,715186.0
2021-08,616255.0
2021-09,586847.0
2021-10,678734.0
2021-11,1421364.0
2021-12,2629977.0
2022-01,4063648.0
2022-02,4399628.0
2022-03,3811995.0
2022-04,2829388.0
2022-05,1523822.0
2022-06,952154.0
2022-07,705340.0
2022-08,599417.0
2022-09,523443.0
2022-10,702752.0
2022-11,1386175.0
2022-12,2285070.0
