YYYY-MM,ELRW_USQNT
2015-01,1487305.0
2015-02,1446593.0
2015-03,1197804.0
2015-04,1181990.0
2015-05,1032433.0
2015-06,1052674.0
2015-07,1056620.0
2015-08,1251550.0
2015-09,1063280.0
2015-10,1000410.0
2015-11,1151118.0
2015-12,1311542.0
2016-01,1429838.0
2016-02,1514608.0
2016-03,1292839.0
2016-04,1172523.0
2016-05,1054885.0
2016-06,1071176.0
2016-07,1130525.0
2016-08,1393432.0
2016-09,1149523.0
2016-10,1022549.0
2016-11,1193290.0
2016-12,1336984.0
2017-01,1445670.0
2017-02,1492546.0
2017-03,1213939.0
2017-04,1210869.0
2017-05,1088711.0
2017-06,1095148.0
2017-07,1286923.0
2017-08,1211873.0
2017-09,1057263.0
2017-10,1112130.0
2017-11,1254132.0
2017-12,1466396.0
2018-01,1599802.0
2018-02,1635429.0
2018-03,1291617.0
2018-04,1272840.0
2018-05,1155964.0
2018-06,1172577.0
2018-07,1289425.0
2018-08,2004777.0
2018-09,1406595.0
2018-10,1228921.0
2018-11,1381632.0
2018-12,1510178.0
2019-01,1606131.0
2019-02,1567308.0
2019-03,1332058.0
2019-04,1355466.0
2019-05,1197359.0
2019-06,1167156.0
2019-07,1202602.0
2019-08,1703700.0
2019-09,1313086.0
2019-10,1140318.0
2019-11,1237170.0
2019-12,1403157.0
2020-01,1508047.0
2020-02,1486000.0
2020-03,1331548.0
2020-04,1285276.0
2020-05,1169460.0
2020-06,1227393.0
2020-07,1195321.0
2020-08,1442267.0
2020-09,551991.0
2020-10,438210.0
2020-11,1264172.0
2020-12,1381133.0
2021-01,1582360.0
2021-02,1496433.0
2021-03,1234358.0
2021-04,1237202.0
2021-05,1130063.0
2021-06,1195642.0
2021-07,1346737.0
2021-08,1662316.0
2021-09,1253798.0
2021-10,1139276.0
2021-11,1249455.0
2021-12,1369549.0
2022-01,1554298.0
2022-02,1529312.0
2022-03,1273603.0
2022-04,1263412.0
2022-05,1106763.0
2022-06,1154661.0
2022-07,1541001.0
2022-08,1661063.0
2022-09,1318647.0
2022-10,1151297.0
2022-11,1236127.0
2022-12,1388569.0
