YYYY-MM,ELRW_USQNT
2015-01,73552.0
2015-02,69536.0
2015-03,59550.0
2015-04,52994.0
2015-05,39175.0
2015-06,31182.0
2015-07,26339.0
2015-08,26592.0
2015-09,27014.0
2015-10,27465.0
2015-11,38798.0
2015-12,51086.0
2016-01,53118.0
2016-02,59939.0
2016-03,49487.0
2016-04,39801.0
2016-05,29940.0
2016-06,24148.0
2016-07,21834.0
2016-08,21786.0
2016-09,21877.0
2016-10,24518.0
2016-11,37642.0
2016-12,47757.0
2017-01,52206.0
2017-02,61286.0
2017-03,13663.0
2017-04,12857.0
2017-05,9375.0
2017-06,8635.0
2017-07,7135.0
2017-08,7314.0
2017-09,7320.0
2017-10,8227.0
2017-11,10220.0
2017-12,13470.0
2018-01,16129.0
2018-02,16802.0
2018-03,13397.0
2018-04,12277.0
2018-05,11094.0
2018-06,9075.0
2018-07,6924.0
2018-08,8287.0
2018-09,7171.0
2018-10,7372.0
2018-11,11085.0
2018-12,12662.0
2019-01,15696.0
2019-02,15762.0
2019-03,14278.0
2019-04,14426.0
2019-05,11500.0
2019-06,7960.0
2019-07,6713.0
2019-08,7661.0
2019-09,7447.0
2019-10,14238.0
2019-11,9372.0
2019-12,10464.0
2020-01,14426.0
2020-02,13650.0
2020-03,11932.0
2020-04,11038.0
2020-05,8545.0
2020-06,7440.0
2020-07,6690.0
2020-08,7860.0
2020-09,8032.0
2020-10,14706.0
2020-11,9413.0
2020-12,11067.0
2021-01,14558.0
2021-02,14933.0
2021-03,12356.0
2021-04,13076.0
2021-05,10496.0
2021-06,9092.0
2021-07,7583.0
2021-08,9235.0
2021-09,8371.0
2021-10,7914.0
2021-11,9101.0
2021-12,13697.0
2022-01,15499.0
2022-02,17876.0
2022-03,16419.0
2022-04,15483.0
2022-05,12583.0
2022-06,11231.0
2022-07,11450.0
2022-08,12269.0
2022-09,11576.0
2022-10,10380.0
2022-11,14721.0
2022-12,15899.0
