YYYY-MM,ELRW_USQNT
2015-01,70049.0
2015-02,67106.0
2015-03,58528.0
2015-04,53466.0
2015-05,39840.0
2015-06,33792.0
2015-07,31119.0
2015-08,35862.0
2015-09,33967.0
2015-10,35361.0
2015-11,48769.0
2015-12,59506.0
2016-01,68698.0
2016-02,72975.0
2016-03,60665.0
2016-04,49049.0
2016-05,38933.0
2016-06,35586.0
2016-07,32946.0
2016-08,37059.0
2016-09,35180.0
2016-10,36595.0
2016-11,48787.0
2016-12,61969.0
2017-01,68502.0
2017-02,75854.0
2017-03,42843.0
2017-04,34377.0
2017-05,23071.0
2017-06,19471.0
2017-07,22833.0
2017-08,22751.0
2017-09,19174.0
2017-10,23514.0
2017-11,37105.0
2017-12,53241.0
2018-01,56468.0
2018-02,59597.0
2018-03,41859.0
2018-04,37149.0
2018-05,27496.0
2018-06,19590.0
2018-07,20519.0
2018-08,24461.0
2018-09,21110.0
2018-10,23025.0
2018-11,33914.0
2018-12,45225.0
2019-01,55639.0
2019-02,48919.0
2019-03,36710.0
2019-04,34794.0
2019-05,24628.0
2019-06,21426.0
2019-07,21317.0
2019-08,26396.0
2019-09,23240.0
2019-10,23611.0
2019-11,33268.0
2019-12,54415.0
2020-01,58528.0
2020-02,54019.0
2020-03,42467.0
2020-04,33475.0
2020-05,24213.0
2020-06,24497.0
2020-07,20286.0
2020-08,21831.0
2020-09,21475.0
2020-10,19100.0
2020-11,32413.0
2020-12,37496.0
2021-01,46919.0
2021-02,43075.0
2021-03,31904.0
2021-04,28298.0
2021-05,25818.0
2021-06,21889.0
2021-07,22516.0
2021-08,24718.0
2021-09,21495.0
2021-10,19705.0
2021-11,34212.0
2021-12,42444.0
2022-01,53265.0
2022-02,50642.0
2022-03,37981.0
2022-04,32999.0
2022-05,25373.0
2022-06,23093.0
2022-07,26364.0
2022-08,27360.0
2022-09,23494.0
2022-10,25955.0
2022-11,35791.0
2022-12,44156.0
