YYYY-MM,ELRW_USQNT
2015-01,3233362.0
2015-02,3148568.0
2015-03,2580069.0
2015-04,2493058.0
2015-05,2104192.0
2015-06,2101930.0
2015-07,2208555.0
2015-08,2683863.0
2015-09,2392562.0
2015-10,1990193.0
2015-11,2170959.0
2015-12,2579077.0
2016-01,2829199.0
2016-02,3064706.0
2016-03,2617521.0
2016-04,2351089.0
2016-05,1943389.0
2016-06,2058688.0
2016-07,1951211.0
2016-08,2359193.0
2016-09,2206752.0
2016-10,1615746.0
2016-11,1832984.0
2016-12,2177279.0
2017-01,2469584.0
2017-02,2633232.0
2017-03,2169501.0
2017-04,2034717.0
2017-05,1691659.0
2017-06,1763640.0
2017-07,1978764.0
2017-08,2392921.0
2017-09,2066509.0
2017-10,1758881.0
2017-11,1823439.0
2017-12,2368702.0
2018-01,2799652.0
2018-02,2961690.0
2018-03,2286380.0
2018-04,2128562.0
2018-05,1853776.0
2018-06,1964380.0
2018-07,2051162.0
2018-08,2949481.0
2018-09,2392782.0
2018-10,1745861.0
2018-11,1919114.0
2018-12,2174307.0
2019-01,2680914.0
2019-02,2620962.0
2019-03,2159705.0
2019-04,2133678.0
2019-05,1866431.0
2019-06,1899087.0
2019-07,1995512.0
2019-08,2572903.0
2019-09,2341588.0
2019-10,1861663.0
2019-11,1846523.0
2019-12,2198376.0
2020-01,2527167.0
2020-02,2569709.0
2020-03,2269200.0
2020-04,2106977.0
2020-05,1877163.0
2020-06,1947715.0
2020-07,2090375.0
2020-08,2251443.0
2020-09,1738399.0
2020-10,1212934.0
2020-11,1957086.0
2020-12,2237388.0
2021-01,2741913.0
2021-02,2775144.0
2021-03,2210336.0
2021-04,2107889.0
2021-05,1866077.0
2021-06,1958582.0
2021-07,2166625.0
2021-08,2793232.0
2021-09,2240848.0
2021-10,1903364.0
2021-11,1960660.0
2021-12,2214282.0
2022-01,2644425.0
2022-02,2701113.0
2022-03,2340207.0
2022-04,2152086.0
2022-05,1823136.0
2022-06,1921027.0
2022-07,2388582.0
2022-08,2609922.0
2022-09,2265175.0
2022-10,2032583.0
2022-11,2031256.0
2022-12,2294343.0
